Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
producto que contiene exactamente clorhidrato de desipramina 50 miligramos por cada comprimido para administración oral de liberación convencional (fármaco de uso clínico)	375530008	fármaco de uso clínico	-1	-1	[413313008, 242667007, 226489006, 257031004, 86751007, 306510007, 274225004, 227127009, 137662006, 237004009]	0	1.0	1	1.0	[116680003]	413313008	0	0.0	[]	-1	[[116680003, -1]]	[[732418005, 370310006, 387385000, 16977003, 732553001, 732660004, 41147003, 9268004, 43684009, 732672005]]		
fractura de Quervain (trastorno)	46773004	trastorno	-1	-1	[249749006, 434054009, 465699001, 51016001, 730325007, 788100006, 719782009, 464644004, 307441000, 702299002]	0	1.0	1	1.0	[116680003]	249749006	0	0.0	[]	-1	[[116680003, -1]]	[[249749006, 434054009, 727945000, 702299002, 469340003, 310161006, 416301007, 182986003, 705884001, 159542005]]		
vena safena externa [como un todo] (estructura corporal)	181404009	estructura corporal	0	-1	[38703007, 4703008, 369380008, 50347005, 369316007, 284359007, 244240006, 17504005, 424343003, 818996002]	0	1.0	1	1.0	[116680003]	38703007	1	1.0	[116680003]	38703007	[[116680003, -1]]	[[369380008, 281481002, 17504005, 4703008, 244404006, 50347005, 424343003, 38703007, 284359007, 285203009]]	[[116680003, -1]]	[[369380008, 281481002, 17504005, 4703008, 244404006, 50347005, 424343003, 38703007, 284359007, 285203009]]
hiperplasia congénita de las glándulas sebáceas del labio (trastorno)	27680009	trastorno	-1	-1	[727945000, 708799007, 434054009, 362089001, 249749006, 399927005, 227882002, 712621007, 110826004, 468384007]	0	1.0	1	1.0	[116680003]	727945000	0	0.0	[]	-1	[[116680003, -1]]	[[60522007, 434054009, 9435009, 708799007, 112669001, 89855005, 846643009, 399927005, 699225003, 103653009]]		
apófisis clinoides media [como un todo] (estructura corporal)	139885000	estructura corporal	0	-1	[369316007, 58159000, 59191008, 24563008, 264259004, 360916005, 49129006, 38703007, 279268000, 244240006]	0	1.0	1	1.0	[116680003]	369316007	1	1.0	[116680003]	369316007	[[116680003, -1]]	[[51416005, 369316007, 420669007, 24563008, 39702006, 277965000, 51906006, 43291002, 280246009, 416301007]]	[[116680003, -1]]	[[51416005, 369316007, 420669007, 24563008, 39702006, 277965000, 51906006, 43291002, 280246009, 416301007]]
termometría con cristales líquidos (procedimiento)	252463007	procedimiento	0	-1	[71643009, 384786009, 228253008, 125476005, 223518003, 396127008, 397672009, 734929001, 328498003, 712613001]	0	1.0	1	1.0	[116680003]	71643009	1	1.0	[116680003]	71643009	[[116680003, -1]]	[[258879008, 406202006, 706263009, 421335007, 714059004, 397672009, 250872003, 51717002, 251867002, 466396006]]	[[116680003, -1]]	[[258879008, 406202006, 706263009, 421335007, 714059004, 397672009, 250872003, 51717002, 251867002, 466396006]]
cuerpo extraño en la piel de la palma de la mano (trastorno)	298082009	trastorno	-1	-1	[249749006, 788100006, 727945000, 4647008, 307441000, 159542005, 170672000, 182986003, 434054009, 423782006]	0	1.0	1	1.0	[116680003]	249749006	0	0.0	[]	-1	[[116680003, -1]]	[[249749006, 727945000, 434054009, 159542005, 4647008, 182986003, 716551007, 170672000, 788100006, 307441000]]		
producto que contiene exactamente clorhidrato de milnaciprán 25 miligramos por cada comprimido para administración oral de liberación convencional (fármaco de uso clínico)	441568008	fármaco de uso clínico	-1	-1	[413313008, 242667007, 226489006, 257031004, 306510007, 86751007, 274225004, 137662006, 237004009, 227127009]	0	1.0	1	1.0	[116680003]	413313008	0	0.0	[]	-1	[[116680003, -1]]	[[732418005, 732553001, 387385000, 370310006, 16977003, 732660004, 732672005, 9268004, 43684009, 41147003]]		
endocarditis de prótesis de válvula tricúspide (trastorno)	703190002	trastorno	-1	-1	[21498007, 27055008, 45324002, 68209001, 729974002, 86839002, 244371000, 32198009, 57793009, 727945000]	0	1.0	1	1.0	[116680003]	21498007	0	0.0	[]	-1	[[116680003, -1]]	[[21498007, 45324002, 27055008, 194983005, 244371000, 232834008, 711570001, 52247003, 711579000, 729974002]]		
puente de estómago por anastomosis de esófago a duodeno (procedimiento)	173740007	procedimiento	-1	-1	[360964001, 701734006, 468384007, 110847000, 216886005, 360962002, 260580000, 110617004, 730325007, 249749006]	0	1.0	1	1.0	[116680003]	360964001	0	0.0	[]	-1	[[116680003, -1]]	[[468384007, 434054009, 110672002, 60947002, 371848004, 110617004, 730325007, 216886005, 701734006, 249749006]]		
dabrafenib (sustancia)	703641001	sustancia	9	-1	[237004009, 306510007, 59456005, 466139008, 441426006, 261433004, 434670007, 261106008, 30801002, 227127009]	0	1.0	1	1.0	[116680003]	237004009	1	1.0	[116680003]	227127009	[[116680003, -1]]	[[364268001, 14632004, 364296007, 88885006, 36922004, 473013003, 363812007, 271602007, 161714006, 364369006]]	[[116680003, -1]]	[[351000221101, 86988001, 401000221106, 131325006, 415768008, 721923008, 103471009, 103470005, 698244000, 40983000]]
reemplazo de emergencia de arteria femoral aneurismática por anastomosis de arteria femoral a arteria femoral (procedimiento)	175632006	procedimiento	-1	-1	[242219009, 89471000, 43291002, 260580000, 261401008, 249749006, 312552007, 181340007, 30191007, 716300000]	0	1.0	1	1.0	[116680003]	242219009	0	0.0	[]	-1	[[116680003, -1]]	[[89471000, 43291002, 261401008, 312552007, 260580000, 360150000, 57823005, 819982004, 242219009, 181340007]]		
medición del nivel de adrenocorticotrofina en suero (procedimiento)	271536006	procedimiento	-1	-1	[328498003, 358391008, 251867002, 249749006, 346602001, 273753009, 726054005, 468384007, 725540000, 86751007]	0	1.0	1	1.0	[116680003]	328498003	0	0.0	[]	-1	[[116680003, -1]]	[[273753009, 328498003, 251867002, 346602001, 468384007, 371007001, 358391008, 185399004, 726054005, 736367008]]		
dermatomicosis diseminada por Penicillium (trastorno)	403123003	trastorno	-1	-1	[38836002, 57877009, 719037004, 19425003, 75445002, 702508002, 609049008, 766998007, 724054008, 78006004]	0	1.0	1	1.0	[116680003]	38836002	0	0.0	[]	-1	[[116680003, -1]]	[[57877009, 38836002, 719037004, 19425003, 75445002, 73489004, 609049008, 78006004, 609005006, 724054008]]		
caquexia asociada con SIDA (hallazgo)	422003001	hallazgo	-1	-1	[242567003, 396848007, 37266000, 405111006, 727945000, 450946009, 735544003, 19694002, 231437006, 90092004]	0	1.0	1	1.0	[116680003]	242567003	0	0.0	[]	-1	[[116680003, -1]]	[[281583001, 19694002, 24825006, 37266000, 242567003, 249141002, 216912004, 247962006, 217592001, 216928009]]		
prueba de resistencia a la lisozima (procedimiento)	9759000	procedimiento	-1	-1	[40269008, 434054009, 249749006, 423369000, 702299002, 273753009, 26278003, 371007001, 468384007, 420527001]	0	1.0	1	1.0	[116680003]	40269008	0	0.0	[]	-1	[[116680003, -1]]	[[273369004, 112119008, 251392008, 243832003, 243863004, 72657008, 273753009, 371007001, 40269008, 258879008]]		
aumento de cúbito (procedimiento)	313051001	procedimiento	-1	-1	[705884001, 258879008, 249749006, 182986003, 702661004, 465699001, 464644004, 228253008, 255296002, 170672000]	0	1.0	1	1.0	[116680003]	705884001	0	0.0	[]	-1	[[116680003, -1]]	[[300950007, 95423008, 87415007, 111253001, 300941005, 445012003, 363166002, 109303003, 128398001, 266071000]]		
ingreso personal bajo (hallazgo)	224175008	hallazgo	0	-1	[305505004, 305500009, 305453002, 305513003, 305613006, 305455009, 305590004, 305525000, 305554006, 305574004]	0	1.0	1	1.0	[116680003]	305505004	1	1.0	[116680003]	305505004	[[116680003, -1]]	[[305455009, 305505004, 305500009, 305513003, 305453002, 305613006, 185278000, 305590004, 305525000, 310417005]]	[[116680003, -1]]	[[305455009, 305505004, 305500009, 305513003, 305453002, 305613006, 185278000, 305590004, 305525000, 310417005]]
eliptocitosis hereditaria por defecto de espectrina alfa (trastorno)	8857001	trastorno	1	-1	[62697005, 360376008, 8566008, 5513006, 386071007, 434791005, 18789002, 55522006, 227577003, 125476005]	0	1.0	1	1.0	[116680003]	62697005	1	1.0	[116680003]	360376008	[[116680003, -1]]	[[259682008, 11282001, 28835009, 396338004, 271602007, 360376008, 67540009, 63599005, 47641009, 312917007]]	[[116680003, -1]]	[[434054009, 249749006, 267431006, 89304008, 8566008, 360376008, 727945000, 4647008, 227577003, 162608008]]
identificación de anticuerpos anti - grupo sanguíneo i - 2 (procedimiento)	104055009	procedimiento	-1	-1	[120755002, 261600003, 125011000, 106216004, 434054009, 18065004, 76958003, 125015009, 120968004, 120691003]	0	1.0	1	1.0	[116680003]	120755002	0	0.0	[]	-1	[[116680003, -1]]	[[106216004, 261600003, 127450006, 434054009, 76958003, 4169000, 115724009, 115729004, 42784008, 115929007]]		
drenaje de chalazión (procedimiento)	274007003	procedimiento	8	-1	[467541009, 246127005, 706088007, 422462002, 57214001, 701734006, 731407008, 467256001, 310518002, 110847000]	0	1.0	1	1.0	[116680003]	467541009	1	1.0	[116680003]	310518002	[[116680003, -1]]	[[2522002, 257287003, 257821005, 445732008, 258646005, 129289008, 47952001, 419279005, 238261005, 7613004]]	[[116680003, -1]]	[[467541009, 736059007, 773597004, 246127005, 701734006, 773430001, 422462002, 736392006, 228253008, 183770009]]
promoción de la participación familiar (régimen/tratamiento)	386299008	régimen/tratamiento	-1	-1	[370972000, 305734008, 161020004, 390810009, 373811001, 304564008, 118209003, 182850000, 773430001, 788004000]	0	1.0	1	1.0	[116680003]	370972000	0	0.0	[]	-1	[[116680003, -1]]	[[251918000, 283917007, 445552006, 373811001, 118209003, 406222005, 425392003, 705608002, 420072004, 711108003]]		
reacción adversa a la cefoxitina (trastorno)	293020000	trastorno	0	-1	[293243000, 40269008, 396848007, 704795006, 249749006, 731591004, 263281001, 788094008, 48608008, 730930002]	0	1.0	1	1.0	[116680003]	293243000	1	1.0	[116680003]	293243000	[[116680003, -1]]	[[213998008, 48608008, 226489006, 468384007, 396848007, 242667007, 727945000, 720196002, 249749006, 725540000]]	[[116680003, -1]]	[[213998008, 48608008, 226489006, 468384007, 396848007, 242667007, 727945000, 720196002, 249749006, 725540000]]
reducción a cielo abierto de luxación del pie y de dedo del pie (procedimiento)	56810007	procedimiento	-1	-1	[249749006, 110793006, 701734006, 423660005, 434054009, 727945000, 838403002, 728247002, 719782009, 182986003]	0	1.0	1	1.0	[116680003]	249749006	0	0.0	[]	-1	[[116680003, -1]]	[[249749006, 434054009, 727945000, 110793006, 701734006, 182986003, 4647008, 728247002, 423660005, 159542005]]		
otitis crónica mucoide de ambos oídos medios (trastorno)	1083331000119106	trastorno	-1	-1	[716551007, 159542005, 727945000, 4647008, 103617007, 264149005, 40269008, 249749006, 408117006, 371848004]	0	1.0	1	1.0	[116680003]	716551007	0	0.0	[]	-1	[[116680003, -1]]	[[159542005, 716551007, 727945000, 40638003, 110739008, 103617007, 106247005, 264149005, 4647008, 360386009]]		
claridad mental incompleta (hallazgo)	88962006	hallazgo	7	-1	[161714006, 716551007, 1925005, 57194009, 249749006, 7175000, 473344002, 118209003, 271299001, 365988001]	0	1.0	1	1.0	[116680003]	161714006	1	1.0	[116680003]	118209003	[[116680003, -1]]	[[63736003, 364128008, 404951000, 18789002, 708843003, 237940008, 434791005, 261207009, 328498003, 364569005]]	[[116680003, -1]]	[[69280009, 22232009, 224891009, 312884005, 223999001, 305450004, 305525000, 158965000, 108343000, 394733009]]
injerto-puente aortocoronario con prótesis (procedimiento)	8876004	procedimiento	1	1	[364098002, 233378000, 264445009, 232721002, 256839005, 261697006, 434054009, 716300000, 705892005, 303274001]	0	1.0	1	1.0	[116680003]	364098002	3	1.0	[116680003, 260686004, 405813007]	233378000	[[116680003, -1]]	[[233378000, 450683007, 50807007, 405526003, 233383008, 41161008, 303274001, 38249004, 287347004, 112828007]]	[[116680003, -1], [260686004, -1], [405813007, -1]]	[[233378000, 50807007, 232723004, 405526003, 232721002, 405311001, 82596000, 439019000, 264445009, 14752007], [434054009, 705874002, 705875001, 705888003, 705641004, 233378000, 705368009, 41161008, 364098002, 705893000], [50807007, 688000, 422874009, 70253006, 89471000, 362045001, 28989005, 17737009, 312552007, 244244002]]
síndrome de Berlín (trastorno)	239032007	trastorno	-1	-1	[434054009, 727945000, 702299002, 227882002, 420527001, 170672000, 473323002, 258089008, 434791005, 469340003]	0	1.0	1	1.0	[116680003]	434054009	0	0.0	[]	-1	[[116680003, -1]]	[[431574005, 432287003, 431059000, 425681008, 396840000, 433721008, 441249006, 114154000, 388649006, 409856009]]		
