Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
insuficiencia respiratoria hipoxémica crónica reagudizada (trastorno)	10672271000119100	trastorno	0	0	[7361000175106, 67905004, 428173007, 426896000, 20091000175107, 427896006, 709110009, 709111008, 709109004, 10676831000119101]	0	1.0	3	1.0	[116680003, 263502005, 363698007]	7361000175106	3	1.0	[116680003, 263502005, 363698007]	7361000175106	[[116680003, 0], [263502005, 0], [363698007, 0]]	[[67905004, 7361000175106, 428173007, 427896006, 426896000, 20091000175107, 709111008, 709110009, 236433006, 443344007], [255212004, 238561006, 90734009, 160900005, 716771000, 25649003, 314017009, 13550009, 32979008, 79955004], [20139000, 50043002, 448708002, 118969007, 386043001, 714323000, 268925001, 86762007, 63303001, 113257007]]	[[116680003, 0], [263502005, 0], [363698007, 0]]	[[67905004, 7361000175106, 428173007, 427896006, 426896000, 20091000175107, 709111008, 709110009, 236433006, 443344007], [255212004, 238561006, 90734009, 160900005, 716771000, 25649003, 314017009, 13550009, 32979008, 79955004], [20139000, 50043002, 448708002, 118969007, 386043001, 714323000, 268925001, 86762007, 63303001, 113257007]]
resonancia magnética de columna vertebral de feto (procedimiento)	443079000	procedimiento	0	0	[241645008, 711185003, 432152009, 417525006, 711312000, 711184004, 417726009, 431985004, 241648005, 711313005]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	241645008	3	1.0	[116680003, 260686004, 405813007]	241645008	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[414458006, 432850003, 495741000119105, 409771000119104, 411611000119102, 411571000119106, 764568007, 571891000119109, 433171002, 394451000119106], [312250003, 764577000, 16327691000119101, 4251000179103, 465552002, 720705001, 719178004, 489801000119103, 382911000119105, 764550009], [53418001, 30340003, 6989001, 297174005, 304037003, 75160005, 297171002, 3865001, 297172009, 286591006]]	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[414458006, 432850003, 495741000119105, 409771000119104, 411611000119102, 411571000119106, 764568007, 571891000119109, 433171002, 394451000119106], [312250003, 764577000, 16327691000119101, 4251000179103, 465552002, 720705001, 719178004, 489801000119103, 382911000119105, 764550009], [53418001, 30340003, 6989001, 297174005, 304037003, 75160005, 297171002, 3865001, 297172009, 286591006]]
llanto excesivo en el recién nacido (hallazgo)	95629002	hallazgo	2	2	[735747007, 431335002, 240301009, 48000002, 276632003, 87476004, 433237003, 35683002, 70612009, 315420004]	0	1.0	1	0.25	[116680003]	735747007	2	1.0	[116680003, 363714003]	240301009	[[116680003, 0]]	[[162213003, 233776003, 788918005, 271812002, 247784003, 275925003, 735639001, 735640004, 275386008, 248799000]]	[[116680003, -1], [363714003, -1]]	[[72552008, 49415001, 371105007, 431335002, 735747007, 87476004, 48000002, 134251000119105, 35683002, 433237003], [364645004, 364660001, 364538006, 364656004, 364647007, 363896009, 364663004, 363894007, 406202006, 364171004]]
obtención y preparación de epiplón mayor (procedimiento)	180850006	procedimiento	0	0	[180826009, 180851005, 309065004, 180718007, 180793002, 177961005, 180662008, 180715005, 426098003, 180758009]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	180826009	3	1.0	[116680003, 260686004, 405813007]	180826009	[[116680003, -1], [260686004, 0], [405813007, -1]]	[[44945006, 57299007, 74909004, 233462003, 89106004, 67954006, 180660000, 360025001, 448365004, 709106006], [360025001, 233462003, 53958007, 67954006, 180660000, 74909004, 448361008, 448365004, 439587001, 44945006], [245076006, 245136004, 245183002, 245085006, 25541006, 81440007, 245141007, 280342008, 305042004, 245110006]]	[[116680003, -1], [260686004, 0], [405813007, -1]]	[[44945006, 57299007, 74909004, 233462003, 89106004, 67954006, 180660000, 360025001, 448365004, 709106006], [360025001, 233462003, 53958007, 67954006, 180660000, 74909004, 448361008, 448365004, 439587001, 44945006], [245076006, 245136004, 245183002, 245085006, 25541006, 81440007, 245141007, 280342008, 305042004, 245110006]]
catarata en hipoparatiroidismo (trastorno)	231971006	trastorno	0	0	[717893006, 717894000, 95724003, 52421005, 264443002, 247064005, 204128001, 267626000, 253226005, 253225009]	0	1.0	4	1.0	[116676008, 116680003, 363698007, 42752001]	717893006	4	1.0	[116676008, 116680003, 363698007, 42752001]	717893006	[[116676008, 0], [116680003, -1], [363698007, 0], [42752001, -1]]	[[128305008, 38422002, 50822002, 36350006, 49755003, 247075009, 789176009, 737269000, 363952008, 204171005], [128306009, 193570009, 285096004, 247064005, 95724003, 267626000, 68216000, 95723009, 40714009, 110998005], [78076003, 840672002, 840671009, 38881003, 40049005, 246921007, 225701002, 246796002, 363936005, 463501001], [36976004, 359743001, 237654002, 190455009, 717903003, 240091005, 359742006, 63981007, 237527007, 27059002]]	[[116676008, 0], [116680003, -1], [363698007, 0], [42752001, -1]]	[[128305008, 38422002, 50822002, 36350006, 49755003, 247075009, 789176009, 737269000, 363952008, 204171005], [128306009, 193570009, 285096004, 247064005, 95724003, 267626000, 68216000, 95723009, 40714009, 110998005], [78076003, 840672002, 840671009, 38881003, 40049005, 246921007, 225701002, 246796002, 363936005, 463501001], [36976004, 359743001, 237654002, 190455009, 717903003, 240091005, 359742006, 63981007, 237527007, 27059002]]
placa superior de laminilla espiral coclear [como un todo] (estructura corporal)	729132006	estructura corporal	0	0	[729131004, 729129008, 729130003, 729128000, 729149004, 730956009, 729148007, 279790004, 149380004, 279793002]	0	1.0	2	1.0	[116680003, 272741003]	729131004	2	1.0	[116680003, 272741003]	729131004	[[116680003, 0], [272741003, 0]]	[[279793002, 279792007, 279789008, 729131004, 279788000, 279786001, 279843007, 279791000, 729129008, 730956009], [182353008, 709880000, 384727002, 437882009, 24614000, 409056005, 49131002, 369086009, 369082006, 362397001]]	[[116680003, 0], [272741003, 0]]	[[279793002, 279792007, 279789008, 729131004, 279788000, 279786001, 279843007, 279791000, 729129008, 730956009], [182353008, 709880000, 384727002, 437882009, 24614000, 409056005, 49131002, 369086009, 369082006, 362397001]]
histerectomía vaginal asistida por laparoscopia con salpingo-ooforectomía bilateral (procedimiento)	441820006	procedimiento	0	0	[608806004, 75835007, 739673001, 739674007, 414575003, 739669004, 739670003, 116144002, 429763009, 767612001]	0	1.0	5	0.8333	[116680003, 424876005, 405813007, 260686004, 425391005]	608806004	5	0.8333	[116680003, 424876005, 405813007, 260686004, 425391005]	608806004	[[116680003, 3], [424876005, -1], [405813007, -1], [260686004, -1], [425391005, -1]]	[[739673001, 739674007, 391996005, 29827000, 391083006, 427851004, 116144002, 76876009, 609275002, 429763009], [739673001, 739674007, 391996005, 609275002, 29827000, 609230000, 739669004, 116144002, 739670003, 76876009], [76876009, 391996005, 29827000, 391083006, 427851004, 739674007, 739673001, 83152002, 765470006, 386634006], [391996005, 739673001, 739674007, 29827000, 765470006, 765469005, 391083006, 427851004, 129399000, 76876009], [609275002, 609230000, 76876009, 116028008, 83152002, 29827000, 302340005, 391996005, 302376006, 386634006]]	[[116680003, 3], [424876005, -1], [405813007, -1], [260686004, -1], [425391005, -1]]	[[739673001, 739674007, 391996005, 29827000, 391083006, 427851004, 116144002, 76876009, 609275002, 429763009], [739673001, 739674007, 391996005, 609275002, 29827000, 609230000, 739669004, 116144002, 739670003, 76876009], [76876009, 391996005, 29827000, 391083006, 427851004, 739674007, 739673001, 83152002, 765470006, 386634006], [391996005, 739673001, 739674007, 29827000, 765470006, 765469005, 391083006, 427851004, 129399000, 76876009], [609275002, 609230000, 76876009, 116028008, 83152002, 29827000, 302340005, 391996005, 302376006, 386634006]]
síndrome de Bloom (trastorno)	4434006	trastorno	0	3	[32123005, 427698009, 309776008, 14785004, 277850002, 403595006, 24956004, 230264003, 278098005, 275850001]	1	0.6667000000000001	1	1.0	[116680003]	32123005	1	0.5	[116680003]	14785004	[[116680003, -1]]	[[5181007, 237979002, 237913008, 63656007, 238043005, 16754006, 190724004, 444756000, 444755001, 190722000]]	[[116680003, -1]]	[[45030009, 118941004, 246789004, 34406007, 127346000, 85418005, 415238003, 260295004, 44888004, 90310002]]
síndrome de aspiración de meconio (trastorno)	206292002	trastorno	0	0	[278927005, 10269001, 129571008, 350353007, 238826008, 57633004, 44047000, 276541002, 312946000, 32891000]	0	1.0	3	0.75	[246454002, 116680003, 363698007]	278927005	3	0.75	[246454002, 116680003, 363698007]	278927005	[[246454002, -1], [116680003, 0], [363698007, 0]]	[[32123005, 427698009, 309776008, 14785004, 277850002, 403595006, 24956004, 230264003, 278098005, 275850001], [276533002, 129892000, 95637005, 10269001, 36193003, 708694007, 708605003, 773984007, 721082002, 708604004], [82094008, 58675001, 47005005, 321667001, 119253004, 408418009, 20800006, 3153003, 83142001, 309168004]]	[[246454002, -1], [116680003, 0], [363698007, 0]]	[[32123005, 427698009, 309776008, 14785004, 277850002, 403595006, 24956004, 230264003, 278098005, 275850001], [276533002, 129892000, 95637005, 10269001, 36193003, 708694007, 708605003, 773984007, 721082002, 708604004], [82094008, 58675001, 47005005, 321667001, 119253004, 408418009, 20800006, 3153003, 83142001, 309168004]]
estudios de captación/excreción de isótopos (procedimiento)	169123003	procedimiento	0	0	[241386007, 12341000, 50621006, 262201007, 444125003, 470270004, 308111008, 443779006, 409082001, 71977002]	0	1.0	3	0.75	[116680003, 260686004, 424361007]	241386007	3	0.75	[116680003, 260686004, 424361007]	241386007	[[116680003, -1], [260686004, -1], [424361007, 0]]	[[15373003, 88583006, 372839006, 258909008, 116067002, 372578001, 115464009, 55170008, 391089005, 166717003], [45120003, 115464009, 285084006, 129005007, 61063002, 413491005, 439181009, 439081007, 437899005, 438686007], [89457008, 33638001, 32926003, 72927002, 437781006, 439551008, 439181009, 438176005, 437916003, 438188007]]	[[116680003, -1], [260686004, -1], [424361007, 0]]	[[15373003, 88583006, 372839006, 258909008, 116067002, 372578001, 115464009, 55170008, 391089005, 166717003], [45120003, 115464009, 285084006, 129005007, 61063002, 413491005, 439181009, 439081007, 437899005, 438686007], [89457008, 33638001, 32926003, 72927002, 437781006, 439551008, 439181009, 438176005, 437916003, 438188007]]
