Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
incapaz de usar palangana (hallazgo)	284914006	hallazgo	0	0	[284913000, 285869003, 285868006, 284921006, 285862007, 285861000, 289984003, 284920007, 284918009, 284908004]	0	1.0	3	1.0	[363713009, 116680003, 363714003]	284913000	3	1.0	[363713009, 116680003, 363714003]	284913000	[[363713009, 0], [116680003, 0], [363714003, 0]]	[[371151008, 371150009, 282976003, 225601007, 284992009, 284829009, 282955008, 284793009, 302043000, 303369006], [365213006, 365108002, 365209004, 364935004, 365127008, 365333008, 364923003, 364934000, 365210009, 365113003], [284912005, 284906000, 714893004, 714892009, 365213006, 714894005, 714895006, 301549009, 302274006, 301543005]]	[[363713009, 0], [116680003, 0], [363714003, 0]]	[[371151008, 371150009, 282976003, 225601007, 284992009, 284829009, 282955008, 284793009, 302043000, 303369006], [365213006, 365108002, 365209004, 364935004, 365127008, 365333008, 364923003, 364934000, 365210009, 365113003], [284912005, 284906000, 714893004, 714892009, 365213006, 714894005, 714895006, 301549009, 302274006, 301543005]]
componente C4 del complemento (sustancia)	300899005	sustancia	0	0	[62699008, 29776002, 20057002, 10473000, 44728009, 52313003, 923009, 724195008, 7161007, 46336004]	0	1.0	2	1.0	[116680003, 726542003]	62699008	2	1.0	[116680003, 726542003]	62699008	[[116680003, -1], [726542003, 0]]	[[259784004, 116646001, 63244002, 22923001, 737098007, 116183000, 234624002, 250330007, 250340005, 259787006], [734544007, 372823004, 372558009, 45878005, 734597001, 763342006, 734801003, 734692002, 115494003, 43784004]]	[[116680003, -1], [726542003, 0]]	[[259784004, 116646001, 63244002, 22923001, 737098007, 116183000, 234624002, 250330007, 250340005, 259787006], [734544007, 372823004, 372558009, 45878005, 734597001, 763342006, 734801003, 734692002, 115494003, 43784004]]
producto que contiene exactamente mesalazina 500 miligramos por cada comprimido de liberación prolongada para administración oral (fármaco de uso clínico)	765648000	fármaco de uso clínico	0	0	[439147003, 765726003, 317431008, 376655004, 329613005, 374938003, 386090004, 371386000, 386052005, 322977004]	0	1.0	10	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	439147003	10	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	439147003	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 4], [732945000, 0], [732946004, 4], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 733000006, 385192004, 447079001, 385059007, 385086007, 66076007], [385060002, 421155001, 421620004, 764774009, 385053008, 422353003, 421026006, 421752008, 765062008, 421366001], [732775002, 732617008, 387501005, 317402009, 317432001, 317401002, 334272005, 293663001, 387248006, 329853005], [779815007, 780541005, 780061009, 778453003, 779002004, 780415002, 778427006, 780084002, 778925008, 780763003], [385055001, 732936001, 421595009, 761877007, 733000006, 385192004, 447079001, 385059007, 385086007, 66076007], [387501005, 788426009, 387248006, 717856000, 38112003, 264614004, 264615003, 293663001, 182840001, 16755671000119107], [258684004, 408169001, 414718005, 228923007, 258835005, 396163008, 228924001, 418830004, 228917002, 258685003], [387501005, 788426009, 387248006, 717856000, 38112003, 264614004, 264615003, 293663001, 182840001, 16755671000119107], [387501005, 387248006, 386890003, 788426009, 391819000, 420557005, 396197001, 387116004, 387072007, 108518005], [387501005, 387248006, 386890003, 788426009, 391819000, 420557005, 396197001, 387116004, 387072007, 108518005]]	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 4], [732945000, 0], [732946004, 4], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 733000006, 385192004, 447079001, 385059007, 385086007, 66076007], [385060002, 421155001, 421620004, 764774009, 385053008, 422353003, 421026006, 421752008, 765062008, 421366001], [732775002, 732617008, 387501005, 317402009, 317432001, 317401002, 334272005, 293663001, 387248006, 329853005], [779815007, 780541005, 780061009, 778453003, 779002004, 780415002, 778427006, 780084002, 778925008, 780763003], [385055001, 732936001, 421595009, 761877007, 733000006, 385192004, 447079001, 385059007, 385086007, 66076007], [387501005, 788426009, 387248006, 717856000, 38112003, 264614004, 264615003, 293663001, 182840001, 16755671000119107], [258684004, 408169001, 414718005, 228923007, 258835005, 396163008, 228924001, 418830004, 228917002, 258685003], [387501005, 788426009, 387248006, 717856000, 38112003, 264614004, 264615003, 293663001, 182840001, 16755671000119107], [387501005, 387248006, 386890003, 788426009, 391819000, 420557005, 396197001, 387116004, 387072007, 108518005], [387501005, 387248006, 386890003, 788426009, 391819000, 420557005, 396197001, 387116004, 387072007, 108518005]]
soplo orbitario (hallazgo)	111977003	hallazgo	0	0	[38061003, 88610006, 421493004, 59495006, 414786004, 248681002, 59935001, 89985004, 68494000, 422325003]	0	1.0	3	1.0	[418775008, 116680003, 363698007]	38061003	3	1.0	[418775008, 116680003, 363698007]	38061003	[[418775008, 0], [116680003, -1], [363698007, -1]]	[[37931006, 225158009, 118241009, 449263002, 68098006, 1735007, 248680001, 366135003, 117127009, 258183006], [21829004, 102957003, 81659004, 53686002, 106058008, 308698004, 249651000, 443515009, 42063007, 70651004], [59820001, 303402001, 303433004, 303410000, 306955007, 50385008, 280891007, 363673006, 297287005, 871859002]]	[[418775008, 0], [116680003, -1], [363698007, -1]]	[[37931006, 225158009, 118241009, 449263002, 68098006, 1735007, 248680001, 366135003, 117127009, 258183006], [21829004, 102957003, 81659004, 53686002, 106058008, 308698004, 249651000, 443515009, 42063007, 70651004], [59820001, 303402001, 303433004, 303410000, 306955007, 50385008, 280891007, 363673006, 297287005, 871859002]]
producto que contiene minociclina en forma farmacéutica para administración parenteral como único ingrediente (forma farmacéutica de producto medicinal)	779911002	forma farmacéutica de producto medicinal	0	0	[779072003, 781659008, 779151003, 780613003, 779713007, 778417000, 780512001, 779273004, 778786000, 780230009]	0	1.0	5	1.0	[411116001, 766939001, 116680003, 766952006, 127489000]	779072003	5	1.0	[411116001, 766939001, 116680003, 766952006, 127489000]	779072003	[[411116001, 0], [766939001, 0], [116680003, 0], [766952006, 0], [127489000, 0]]	[[385287007, 440132002, 761845009, 440129000, 767319000, 385268001, 767315006, 764378009, 764792001, 772805002], [787994008, 788067009, 788020005, 789691007, 788026004, 773837006, 789696002, 787992007, 773886008, 773925005], [776800005, 775698003, 776593005, 775308003, 777769009, 781651006, 781655002, 776705005, 775476004, 776646007], [38112003, 277752003, 264774001, 258191002, 252515007, 260319007, 261768000, 264615003, 260248003, 423377001], [372653009, 372478003, 387548007, 419950007, 418313005, 781643008, 781644002, 418895007, 372779007, 6162007]]	[[411116001, 0], [766939001, 0], [116680003, 0], [766952006, 0], [127489000, 0]]	[[385287007, 440132002, 761845009, 440129000, 767319000, 385268001, 767315006, 764378009, 764792001, 772805002], [787994008, 788067009, 788020005, 789691007, 788026004, 773837006, 789696002, 787992007, 773886008, 773925005], [776800005, 775698003, 776593005, 775308003, 777769009, 781651006, 781655002, 776705005, 775476004, 776646007], [38112003, 277752003, 264774001, 258191002, 252515007, 260319007, 261768000, 264615003, 260248003, 423377001], [372653009, 372478003, 387548007, 419950007, 418313005, 781643008, 781644002, 418895007, 372779007, 6162007]]
monobenzoato de resorcinol (sustancia)	256103001	sustancia	0	8	[78032005, 75951003, 48078005, 27586005, 255858009, 391834006, 772929008, 26961000, 441635009, 434295000]	0	1.0	1	1.0	[116680003]	78032005	2	1.0	[116680003, 738774007]	441635009	[[116680003, 0]]	[[302221001, 255853000, 273963008, 256164005, 288841007, 255767004, 255878001, 288847006, 256209008, 255873005]]	[[116680003, -1], [738774007, 6]]	[[78032005, 109055007, 126112002, 108755008, 373463001, 732842001, 709532005, 395900004, 762246002, 126113007], [386990002, 387253001, 387530003, 301812008, 45025005, 47172007, 78032005, 43706004, 426254009, 422082008]]
polo uterino del ovario [como un todo] (estructura corporal)	279913006	estructura corporal	0	0	[279912001, 729049002, 730219005, 280124008, 245481006, 279909004, 362277009, 258222009, 729183006, 279596007]	0	1.0	2	1.0	[116680003, 272741003]	279912001	2	1.0	[116680003, 272741003]	279912001	[[116680003, 0], [272741003, 0]]	[[84569004, 74240004, 71252005, 7755000, 7435002, 43754007, 61434007, 37397003, 28471000, 253951004], [182353008, 21834000, 19801004, 367923009, 367927005, 724223001, 724221004, 119536007, 367922004, 367921006]]	[[116680003, 0], [272741003, 0]]	[[84569004, 74240004, 71252005, 7755000, 7435002, 43754007, 61434007, 37397003, 28471000, 253951004], [182353008, 21834000, 19801004, 367923009, 367927005, 724223001, 724221004, 119536007, 367922004, 367921006]]
anestesia para procedimiento cerrado en húmero y codo (procedimiento)	1861004	procedimiento	0	0	[57179005, 79038001, 63675002, 30796007, 16342009, 75154005, 69749003, 118734004, 112995002, 22156001]	0	1.0	4	1.0	[116680003, 260686004, 363701004, 363702006]	57179005	4	1.0	[116680003, 260686004, 363701004, 363702006]	57179005	[[116680003, -1], [260686004, 0], [363701004, 2], [363702006, -1]]	[[75154005, 65031003, 78382006, 232604000, 86921005, 79038001, 232622002, 16342009, 69749003, 173094006], [129445006, 257878002, 302196006, 360166003, 263720003, 5776009, 312883004, 129334007, 129378003, 129325002], [29179001, 42360002, 373266007, 28069006, 413535001, 373288007, 373504006, 387703006, 373477003, 52516005], [118704009, 118706006, 8363004, 79038001, 107768003, 118715004, 118705005, 16342009, 118712001, 118695007]]	[[116680003, -1], [260686004, 0], [363701004, 2], [363702006, -1]]	[[75154005, 65031003, 78382006, 232604000, 86921005, 79038001, 232622002, 16342009, 69749003, 173094006], [129445006, 257878002, 302196006, 360166003, 263720003, 5776009, 312883004, 129334007, 129378003, 129325002], [29179001, 42360002, 373266007, 28069006, 413535001, 373288007, 373504006, 387703006, 373477003, 52516005], [118704009, 118706006, 8363004, 79038001, 107768003, 118715004, 118705005, 16342009, 118712001, 118695007]]
epinefrina (sustancia)	387362001	sustancia	0	0	[415227003, 96262009, 126133006, 126134000, 131033001, 96254001, 468846009, 50685004, 64722001, 111564004]	0	1.0	2	1.0	[116680003, 726542003]	415227003	2	1.0	[116680003, 726542003]	415227003	[[116680003, 0], [726542003, 0]]	[[75025002, 79580006, 734668005, 734672009, 237781008, 35284004, 55003009, 21568003, 734671002, 33535006], [734672009, 21568003, 734671002, 75025002, 38254008, 127023007, 79580006, 734668005, 129637007, 782889000]]	[[116680003, 0], [726542003, 0]]	[[75025002, 79580006, 734668005, 734672009, 237781008, 35284004, 55003009, 21568003, 734671002, 33535006], [734672009, 21568003, 734671002, 75025002, 38254008, 127023007, 79580006, 734668005, 129637007, 782889000]]
venas bronquiales izquierdas (estructura corporal)	361640008	estructura corporal	0	0	[361641007, 360700004, 272998002, 206486005, 161991006, 448470007, 36422005, 248498007, 181284009, 128566008]	0	1.0	2	1.0	[116680003, 272741003]	361641007	2	1.0	[116680003, 272741003]	361641007	[[116680003, 0], [272741003, 1]]	[[20976003, 159530000, 64468002, 46704009, 84680009, 90895003, 12145000, 64141005, 2020000, 206400002], [24028007, 7771000, 51440002, 277593009, 19801004, 21834000, 277594003, 264176005, 264065008, 263795004]]	[[116680003, 0], [272741003, 1]]	[[20976003, 159530000, 64468002, 46704009, 84680009, 90895003, 12145000, 64141005, 2020000, 206400002], [24028007, 7771000, 51440002, 277593009, 19801004, 21834000, 277594003, 264176005, 264065008, 263795004]]
