Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
supervisión de embarazo de alto riesgo con antecedente de muerte intrauterina (régimen/tratamiento)	713234005	régimen/tratamiento	0	0	[713233004, 713241004, 713242006, 702740001, 32531000119102]	0	1.0	2	1.0	[116680003, 363702006]	713233004	2	1.0	[116680003, 363702006]	713233004	[[116680003, 0], [363702006, 0]]	[[702738006, 702741002, 702758007, 74491000119109, 47200007, 702742009, 713242006, 386322007, 10761591000119105, 10761551000119100], [47200007, 702738006, 702741002, 386322007, 702758007, 237239003, 15508007, 401330008, 74491000119109, 10761551000119100]]	[[116680003, 0], [363702006, 0]]	[[702738006, 702741002, 702758007, 74491000119109, 47200007, 702742009, 713242006, 386322007, 10761591000119105, 10761551000119100], [47200007, 702738006, 702741002, 386322007, 702758007, 237239003, 15508007, 401330008, 74491000119109, 10761551000119100]]
linfoma semejante a hidroa vacciniforme (trastorno)	763719001	trastorno	-1	4	[450907007, 789440003, 419094004, 733875004, 277654008]	0	1.0	1	1.0	[116680003]	450907007	0	0.0	[]	-1	[[116680003, -1]]	[[789440003, 722958008, 703801008, 450907007, 762316003, 445964006, 397351004, 254290004, 200837006, 441946009]]		
cinamil - alcohol deshidrogenasa (sustancia)	69095004	sustancia	0	0	[13305006, 45717000, 26148001, 26753001, 68826003]	1	0.75	2	1.0	[116680003, 726542003]	13305006	2	1.0	[116680003, 726542003]	13305006	[[116680003, 0], [726542003, 0]]	[[129919009, 771363002, 28598003, 68101005, 130945002, 130944003, 26160000, 129922006, 129921004, 771370002], [736206000, 130154000, 130126007, 130161001, 129961003, 130088008, 40588002, 130134001, 129941009, 49702009]]	[[116680003, 0], [726542003, 0]]	[[129919009, 771363002, 28598003, 68101005, 130945002, 130944003, 26160000, 129922006, 129921004, 771370002], [736206000, 130154000, 130126007, 130161001, 129961003, 130088008, 40588002, 130134001, 129941009, 49702009]]
remoción colposcópica de cuerpo extraño de la vagina (procedimiento)	176740000	procedimiento	0	0	[176738005, 343973002, 363282007, 112914002, 176354006]	0	1.0	4	1.0	[363700003, 116680003, 260686004, 405814001]	176738005	4	1.0	[363700003, 116680003, 260686004, 405814001]	176738005	[[363700003, 0], [116680003, -1], [260686004, 0], [405814001, 0]]	[[19227008, 42014008, 262604009, 9805008, 397325001, 8210009, 371646003, 19316008, 57690004, 22608008], [128395003, 128394004, 68017002, 315305006, 19678009, 49619003, 48743000, 235233003, 235196003, 1868005], [129303008, 129306000, 360325005, 281698007, 129443004, 277763000, 367558000, 129399000, 303996000, 129402004], [76784001, 85802006, 12817009, 309880009, 18857001, 359980002, 236267004, 28644007, 276313002, 464661001]]	[[363700003, 0], [116680003, -1], [260686004, 0], [405814001, 0]]	[[19227008, 42014008, 262604009, 9805008, 397325001, 8210009, 371646003, 19316008, 57690004, 22608008], [128395003, 128394004, 68017002, 315305006, 19678009, 49619003, 48743000, 235233003, 235196003, 1868005], [129303008, 129306000, 360325005, 281698007, 129443004, 277763000, 367558000, 129399000, 303996000, 129402004], [76784001, 85802006, 12817009, 309880009, 18857001, 359980002, 236267004, 28644007, 276313002, 464661001]]
neoplasia maligna del recto, unión rectosigmoide y ano (trastorno)	187760008	trastorno	0	0	[109839004, 188838004, 96281000119107, 187734007, 443488001]	0	1.0	3	1.0	[116676008, 116680003, 363698007]	109839004	3	1.0	[116676008, 116680003, 363698007]	109839004	[[116676008, -1], [116680003, -1], [363698007, 3]]	[[86049000, 722533007, 93980002, 93941005, 94080006, 372087000, 94132005, 188253000, 422782004, 6219000], [109821008, 128415001, 448675008, 187734007, 443488001, 10987871000119109, 92314003, 722533007, 188253000, 93980002], [32004001, 263976001, 280876005, 49832006, 72257001, 25271004, 85036004, 61990008, 413244001, 278964004]]	[[116676008, -1], [116680003, -1], [363698007, 3]]	[[86049000, 722533007, 93980002, 93941005, 94080006, 372087000, 94132005, 188253000, 422782004, 6219000], [109821008, 128415001, 448675008, 187734007, 443488001, 10987871000119109, 92314003, 722533007, 188253000, 93980002], [32004001, 263976001, 280876005, 49832006, 72257001, 25271004, 85036004, 61990008, 413244001, 278964004]]
hipersensibilidad gastrointestinal causada por alimento (trastorno)	735459007	trastorno	0	0	[402384009, 402390008, 419452009, 735468009, 735455001]	0	1.0	5	1.0	[116680003, 116676008, 246075003, 363698007, 370135005]	402384009	5	1.0	[116680003, 116676008, 246075003, 363698007, 370135005]	402384009	[[116680003, -1], [116676008, -1], [246075003, 8], [363698007, -1], [370135005, 8]]	[[421807004, 187101004, 111798006, 240376003, 240384004, 235157009, 735446004, 252632002, 252222003, 715852004], [421807004, 252637008, 252632002, 443466001, 705539009, 303499003, 111798006, 31055005, 235435008, 122865005], [705505005, 105590001, 417176000, 89227002, 301054007, 56552006, 700624004, 259653007, 762766007, 45986006], [39937001, 6076005, 74160004, 43081002, 82654007, 51457003, 54018001, 50545003, 41935005, 37222002], [769260004, 769261000, 422076005, 422339003, 421871004, 771698008, 771519007, 421310001, 472963003, 472964009]]	[[116680003, -1], [116676008, -1], [246075003, 8], [363698007, -1], [370135005, 8]]	[[421807004, 187101004, 111798006, 240376003, 240384004, 235157009, 735446004, 252632002, 252222003, 715852004], [421807004, 252637008, 252632002, 443466001, 705539009, 303499003, 111798006, 31055005, 235435008, 122865005], [705505005, 105590001, 417176000, 89227002, 301054007, 56552006, 700624004, 259653007, 762766007, 45986006], [39937001, 6076005, 74160004, 43081002, 82654007, 51457003, 54018001, 50545003, 41935005, 37222002], [769260004, 769261000, 422076005, 422339003, 421871004, 771698008, 771519007, 421310001, 472963003, 472964009]]
piel de la cara posterior del antebrazo [como un todo] (estructura corporal)	181539006	estructura corporal	0	0	[181538003, 727628007, 181548001, 727856004, 727626006]	0	1.0	2	1.0	[116680003, 272741003]	181538003	2	1.0	[116680003, 272741003]	181538003	[[116680003, 0], [272741003, 0]]	[[41550009, 70559009, 4578000, 88200005, 244137003, 52968007, 66420006, 244139000, 181536004, 73958006], [182353008, 709880000, 437882009, 384727002, 24614000, 369141009, 362392007, 369128005, 279163002, 731186006]]	[[116680003, 0], [272741003, 0]]	[[41550009, 70559009, 4578000, 88200005, 244137003, 52968007, 66420006, 244139000, 181536004, 73958006], [182353008, 709880000, 437882009, 384727002, 24614000, 369141009, 362392007, 369128005, 279163002, 731186006]]
tuberculosis en la madre que complica el nacimiento (trastorno)	10759881000119100	trastorno	0	0	[10754031000119105, 10809061000119106, 10760041000119103, 10759921000119107, 32801000119106]	0	1.0	3	1.0	[116680003, 370135005, 246075003]	10754031000119105	3	1.0	[116680003, 370135005, 246075003]	10754031000119105	[[116680003, 1], [370135005, 0], [246075003, -1]]	[[10759841000119105, 32801000119106, 10759961000119102, 10760001000119100, 10743001000119103, 10745291000119103, 10811201000119102, 10760041000119103, 10812131000119108, 10759401000119105], [441862004, 415178003, 719982003, 609404002, 263680009, 702640006, 442614005, 308489006, 308490002, 272515006], [68704007, 113896009, 424392009, 113898005, 112341004, 66768001, 54915000, 113897000, 450422008, 450421001]]	[[116680003, 1], [370135005, 0], [246075003, -1]]	[[10759841000119105, 32801000119106, 10759961000119102, 10760001000119100, 10743001000119103, 10745291000119103, 10811201000119102, 10760041000119103, 10812131000119108, 10759401000119105], [441862004, 415178003, 719982003, 609404002, 263680009, 702640006, 442614005, 308489006, 308490002, 272515006], [68704007, 113896009, 424392009, 113898005, 112341004, 66768001, 54915000, 113897000, 450422008, 450421001]]
colágeno ADP (sustancia)	391381000	sustancia	0	-1	[61472002, 109010000, 17420003, 409080009, 115498000]	0	1.0	1	1.0	[116680003]	61472002	1	1.0	[116680003]	61472002	[[116680003, -1]]	[[304381003, 89064001, 115494003, 66796007, 164003, 102686003, 130494008, 304372009, 259443001, 10862004]]	[[116680003, -1]]	[[304381003, 89064001, 115494003, 66796007, 164003, 102686003, 130494008, 304372009, 259443001, 10862004]]
tratamiento hipolipemiante suspendido (situación)	764637000	situación	0	0	[170588009, 764968003, 170712003, 170586008, 309841001]	0	1.0	4	1.0	[408731000, 116680003, 408730004, 408732007]	170588009	4	1.0	[408731000, 116680003, 408730004, 408732007]	170588009	[[408731000, 0], [116680003, 0], [408730004, 0], [408732007, 0]]	[[410512000, 410584005, 410587003, 410585006, 410586007, 410588008, 410511007, 15240007, 426794005, 251865005], [394908001, 394906002, 183932001, 708538000, 385655000, 417451006, 405613005, 418661005, 261513001, 400999005], [410545000, 307155000, 769562006, 3091000175105, 309606002, 56089003, 243884009, 171072005, 449369001, 307165006], [410604004, 444279003, 444280000, 57646009, 444147003, 444055008, 37555008, 444191003, 276091008, 444199001]]	[[408731000, 0], [116680003, 0], [408730004, 0], [408732007, 0]]	[[410512000, 410584005, 410587003, 410585006, 410586007, 410588008, 410511007, 15240007, 426794005, 251865005], [394908001, 394906002, 183932001, 708538000, 385655000, 417451006, 405613005, 418661005, 261513001, 400999005], [410545000, 307155000, 769562006, 3091000175105, 309606002, 56089003, 243884009, 171072005, 449369001, 307165006], [410604004, 444279003, 444280000, 57646009, 444147003, 444055008, 37555008, 444191003, 276091008, 444199001]]
luxación traumática expuesta de la articulación escapulotorácica (trastorno)	410046007	trastorno	0	0	[208932000, 410045006, 209011000, 209132005, 373410009]	0	1.0	4	1.0	[116676008, 116680003, 42752001, 363698007]	208932000	4	1.0	[116676008, 116680003, 42752001, 363698007]	208932000	[[116676008, 0], [116680003, -1], [42752001, 0], [363698007, -1]]	[[7906001, 1188006, 50399007, 53739007, 16578003, 85016000, 1040005, 8833001, 5183005, 838548000], [1544005, 84920009, 34873006, 209341009, 209340005, 208946000, 208947009, 208948004, 208937006, 208949007], [773760007, 263904004, 272379006, 405615003, 231954005, 391180006, 232249008, 233648002, 699013006, 201279004], [714493009, 129160003, 76266004, 44034005, 127864001, 27162001, 75069009, 89686001, 22593003, 65232003]]	[[116676008, 0], [116680003, -1], [42752001, 0], [363698007, -1]]	[[7906001, 1188006, 50399007, 53739007, 16578003, 85016000, 1040005, 8833001, 5183005, 838548000], [1544005, 84920009, 34873006, 209341009, 209340005, 208946000, 208947009, 208948004, 208937006, 208949007], [773760007, 263904004, 272379006, 405615003, 231954005, 391180006, 232249008, 233648002, 699013006, 201279004], [714493009, 129160003, 76266004, 44034005, 127864001, 27162001, 75069009, 89686001, 22593003, 65232003]]
sustitución hidrostática de útero invertido (procedimiento)	237021000	procedimiento	0	0	[177208006, 236948005, 51846004, 62131008, 19644003]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	177208006	3	1.0	[116680003, 260686004, 405813007]	177208006	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[237014000, 386638009, 38451000119105, 773432009, 720266003, 200342005, 184244004, 396365006, 396366007, 200030007], [257903006, 439237009, 410817004, 129301005, 129399000, 261518005, 360084004, 277763000, 129372002, 303996000], [35039007, 60028002, 387646002, 280704004, 392207004, 91079009, 237076007, 237075006, 701957006, 245485002]]	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[237014000, 386638009, 38451000119105, 773432009, 720266003, 200342005, 184244004, 396365006, 396366007, 200030007], [257903006, 439237009, 410817004, 129301005, 129399000, 261518005, 360084004, 277763000, 129372002, 303996000], [35039007, 60028002, 387646002, 280704004, 392207004, 91079009, 237076007, 237075006, 701957006, 245485002]]
amplitud de flexión lateral pasiva hacia la izquierda de la columna vertebral lumbar, disminuida (hallazgo)	298643006	hallazgo	0	0	[298632003, 298642001, 298631005, 298549000, 298538006]	0	1.0	4	1.0	[363713009, 116680003, 363714003, 363698007]	298632003	4	1.0	[363713009, 116680003, 363714003, 363698007]	298632003	[[363713009, 0], [116680003, 0], [363714003, 0], [363698007, 0]]	[[1250004, 430641005, 124051006, 124043008, 77853002, 124046000, 134406006, 124053009, 423124001, 124012001], [366440001, 366437001, 366418005, 366415008, 366390001, 366439003, 366436005, 366417000, 366414007, 366389005], [298640009, 298629001, 298546007, 298535009, 298444007, 298433004, 298635001, 298624006, 298634002, 298622005], [786966006, 786965005, 786964009, 8454000, 786849008, 303099005, 129169002, 304574006, 8983005, 76079001]]	[[363713009, 0], [116680003, 0], [363714003, 0], [363698007, 0]]	[[1250004, 430641005, 124051006, 124043008, 77853002, 124046000, 134406006, 124053009, 423124001, 124012001], [366440001, 366437001, 366418005, 366415008, 366390001, 366439003, 366436005, 366417000, 366414007, 366389005], [298640009, 298629001, 298546007, 298535009, 298444007, 298433004, 298635001, 298624006, 298634002, 298622005], [786966006, 786965005, 786964009, 8454000, 786849008, 303099005, 129169002, 304574006, 8983005, 76079001]]
membrana de cuerpo vítreo [como un todo] (estructura corporal)	731984008	estructura corporal	0	0	[181170006, 263340007, 244684002, 279620001, 730055005]	0	1.0	2	1.0	[116680003, 272741003]	181170006	2	1.0	[116680003, 272741003]	181170006	[[116680003, 0], [272741003, -1]]	[[64498009, 47538007, 18795001, 445944001, 721959002, 721960007, 43531000, 782859007, 285654002, 23048007], [727295009, 727316008, 36205006, 11398005, 727220005, 727009001, 726988002, 66155000, 113365008, 362555006]]	[[116680003, 0], [272741003, -1]]	[[64498009, 47538007, 18795001, 445944001, 721959002, 721960007, 43531000, 782859007, 285654002, 23048007], [727295009, 727316008, 36205006, 11398005, 727220005, 727009001, 726988002, 66155000, 113365008, 362555006]]
provocación farmacológica con antiarrítmico de Clase I para revelar elevación del segmento ST (procedimiento)	443917009	procedimiento	-1	-1	[235090006, 235091005, 235092003, 408128005, 710782002]	1	0.9231	1	0.5	[116680003]	235090006	0	0.0	[]	-1	[[116680003, -1]]	[[462908008, 251260005, 773990006, 251244006, 868217004, 448074008, 868214006, 868226001, 711036006, 868224003]]		
recolección de espécimen por drenaje (procedimiento)	50576009	procedimiento	0	0	[21217000, 122880004, 17636008, 16210371000119107, 70777001]	0	1.0	2	1.0	[116680003, 260686004]	21217000	2	1.0	[116680003, 260686004]	21217000	[[116680003, 0], [260686004, 0]]	[[17636008, 16210371000119107, 258455001, 16210291000119103, 122880004, 429832000, 21217000, 70777001, 764928002, 34532003], [257915005, 360153003, 129289008, 129315007, 416677001, 288466002, 129316008, 129300006, 129423005, 288468001]]	[[116680003, 0], [260686004, 0]]	[[17636008, 16210371000119107, 258455001, 16210291000119103, 122880004, 429832000, 21217000, 70777001, 764928002, 34532003], [257915005, 360153003, 129289008, 129315007, 416677001, 288466002, 129316008, 129300006, 129423005, 288468001]]
losartán potásico (sustancia)	108582002	sustancia	0	1	[228111000, 373567002, 108515008, 418966002, 89401004]	0	1.0	1	1.0	[116680003]	228111000	2	1.0	[116680003, 726542003]	373567002	[[116680003, -1]]	[[89309003, 23134009, 111064005, 299979007, 767407009, 50352000, 95989003, 41175001, 7284008, 764427001]]	[[116680003, 0], [726542003, 0]]	[[372913009, 429602006, 385561008, 372517002, 414351004, 409207001, 838466008, 766924002, 764504006, 716044007], [734629003, 698428006, 401084003, 394987009, 410683008, 407565004, 395010006, 407572003, 441196009, 45648004]]
espécimen obtenido de secreción cervical (espécimen)	258451005	espécimen	0	0	[258439008, 122577006, 258558001, 309286008, 122579009]	0	1.0	2	1.0	[116680003, 370133003]	258439008	2	1.0	[116680003, 370133003]	258439008	[[116680003, -1], [370133003, -1]]	[[309051001, 446562005, 258559009, 438545007, 258442002, 258452003, 16210211000119107, 309145008, 258456000, 309268005], [307488001, 289805000, 259622005, 289806004, 783784007, 406757009, 372646000, 413354000, 248839005, 237583008]]	[[116680003, -1], [370133003, -1]]	[[309051001, 446562005, 258559009, 438545007, 258442002, 258452003, 16210211000119107, 309145008, 258456000, 309268005], [307488001, 289805000, 259622005, 289806004, 783784007, 406757009, 372646000, 413354000, 248839005, 237583008]]
genotipo Rh - hallazgo (hallazgo)	365645007	hallazgo	0	0	[312457003, 365638007, 365616005, 365649001, 365643000]	0	1.0	2	1.0	[116680003, 363714003]	312457003	2	1.0	[116680003, 363714003]	312457003	[[116680003, -1], [363714003, -1]]	[[255484006, 118245000, 272520006, 225552003, 414660003, 251440000, 313287004, 224993008, 284607007, 225799007], [86988001, 373265006, 71388002, 307948001, 85757003, 105590001, 423466006, 51316009, 373266007, 14765003]]	[[116680003, -1], [363714003, -1]]	[[255484006, 118245000, 272520006, 225552003, 414660003, 251440000, 313287004, 224993008, 284607007, 225799007], [86988001, 373265006, 71388002, 307948001, 85757003, 105590001, 423466006, 51316009, 373266007, 14765003]]
retinopatía proliferativa con edema de retina debida a diabetes mellitus tipo 2 (trastorno)	97341000119105	trastorno	0	0	[97331000119101, 1501000119109, 1551000119108, 60971000119101, 28331000119107]	0	1.0	4	1.0	[116676008, 116680003, 42752001, 363698007]	97331000119101	4	1.0	[116676008, 116680003, 42752001, 363698007]	97331000119101	[[116676008, -1], [116680003, 0], [42752001, -1], [363698007, 4]]	[[6141006, 399873008, 399863006, 399877009, 13016311000119104, 5008001, 284521000, 421605005, 421346005, 399874002], [28331000119107, 109171000119104, 769220000, 769219006, 770323005, 104941000119109, 1501000119109, 1551000119108, 82541000119100, 421779007], [1501000119109, 761000119102, 368591000119109, 1551000119108, 421750000, 1531000119102, 90781000119102, 368051000119109, 422034002, 420436000], [82859000, 725300007, 23633002, 55393005, 5665001, 6799003, 312999006, 721945009, 37231002, 16711551000119108]]	[[116676008, -1], [116680003, 0], [42752001, -1], [363698007, 4]]	[[6141006, 399873008, 399863006, 399877009, 13016311000119104, 5008001, 284521000, 421605005, 421346005, 399874002], [28331000119107, 109171000119104, 769220000, 769219006, 770323005, 104941000119109, 1501000119109, 1551000119108, 82541000119100, 421779007], [1501000119109, 761000119102, 368591000119109, 1551000119108, 421750000, 1531000119102, 90781000119102, 368051000119109, 422034002, 420436000], [82859000, 725300007, 23633002, 55393005, 5665001, 6799003, 312999006, 721945009, 37231002, 16711551000119108]]
reconstrucción de defecto de la boca con colgajo local pediculado (procedimiento)	173454000	procedimiento	0	0	[173457007, 173455004, 234909008, 173456003, 234906001]	0	1.0	4	1.0	[363700003, 116680003, 260686004, 405813007]	173457007	4	1.0	[363700003, 116680003, 260686004, 405813007]	173457007	[[363700003, -1], [116680003, 0], [260686004, 0], [405813007, 0]]	[[178367000, 304087005, 178225006, 172904009, 177460004, 229727006, 232302007, 177432001, 304089008, 304088000], [234906001, 173373002, 234908000, 173455004, 173457007, 234907005, 698977005, 172950007, 176692001, 234909008], [360032005, 180675008, 265775008, 240983003, 176692001, 172871001, 698976001, 176616002, 176408003, 173258000], [700016008, 698199001, 700017004, 1089971000119108, 172812000, 127945006, 786880003, 172780007, 172815003, 28803009]]	[[363700003, -1], [116680003, 0], [260686004, 0], [405813007, 0]]	[[178367000, 304087005, 178225006, 172904009, 177460004, 229727006, 232302007, 177432001, 304089008, 304088000], [234906001, 173373002, 234908000, 173455004, 173457007, 234907005, 698977005, 172950007, 176692001, 234909008], [360032005, 180675008, 265775008, 240983003, 176692001, 172871001, 698976001, 176616002, 176408003, 173258000], [700016008, 698199001, 700017004, 1089971000119108, 172812000, 127945006, 786880003, 172780007, 172815003, 28803009]]
cribado para lactante previo al alta (procedimiento)	710077004	procedimiento	0	3	[10161009, 86400002, 65537008, 83362003, 185580007]	0	1.0	1	1.0	[116680003]	10161009	2	1.0	[116680003, 260686004]	83362003	[[116680003, -1]]	[[306689006, 229504000, 737014005, 300943008, 225328009, 439124004, 185713001, 10751771000119107, 870358008, 737015006]]	[[116680003, -1], [260686004, 4]]	[[165598004, 185530001, 252879004, 117642006, 473200002, 225061008, 365856005, 31021000119100, 273400001, 61358005], [257890000, 129264002, 129266000, 256644001, 129265001, 367558000, 262206002, 129318009, 130127003, 725527005]]
amplitud de abducción activa de la cadera normal (hallazgo)	299263003	hallazgo	0	0	[299274007, 299268007, 299241007, 299264009, 299265005]	0	1.0	4	1.0	[363713009, 116680003, 363714003, 363698007]	299274007	4	1.0	[363713009, 116680003, 363714003, 363698007]	299274007	[[363713009, 0], [116680003, 0], [363714003, 0], [363698007, 0]]	[[17621005, 781477008, 164758007, 23506009, 164798009, 164734008, 88402000, 299947003, 169053007, 300269008], [366569008, 366572001, 366530002, 366570009, 366567005, 366562004, 366588001, 366533000, 366573006, 366523008], [299262008, 299273001, 299267002, 298970002, 299240008, 299266006, 299261001, 299264009, 299265005, 299251008], [29836001, 24136001, 49812005, 362908009, 362907004, 287579007, 287679003, 304907005, 72696002, 27263004]]	[[363713009, 0], [116680003, 0], [363714003, 0], [363698007, 0]]	[[17621005, 781477008, 164758007, 23506009, 164798009, 164734008, 88402000, 299947003, 169053007, 300269008], [366569008, 366572001, 366530002, 366570009, 366567005, 366562004, 366588001, 366533000, 366573006, 366523008], [299262008, 299273001, 299267002, 298970002, 299240008, 299266006, 299261001, 299264009, 299265005, 299251008], [29836001, 24136001, 49812005, 362908009, 362907004, 287579007, 287679003, 304907005, 72696002, 27263004]]
discusión acerca de reanimación cardiopulmonar con familiar (situación)	713656002	situación	-1	2	[713079002, 713080004, 427569000, 426999008, 386240008]	0	1.0	1	0.3333	[116680003]	713079002	0	0.0	[]	-1	[[116680003, -1]]	[[223483004, 725263009, 312048002, 713665009, 223484005, 710566000, 223471001, 430802005, 223464006, 313008000]]		
trastorno del movimiento debido a efecto tóxico de una sustancia (trastorno)	762300000	trastorno	0	1	[405069002, 26997009, 85644003, 426487006, 21481000119108]	0	1.0	1	1.0	[116680003]	405069002	2	1.0	[116680003, 246075003]	26997009	[[116680003, -1]]	[[363908000, 439374006, 288851000119106, 416751004, 415658005, 415663009, 363905002, 228366006, 440652002, 288021000119107]]	[[116680003, -1], [246075003, -1]]	[[784359003, 784360008, 218249005, 363304009, 473188002, 722971006, 441952005, 47237001, 789046004, 16236661000119100], [724572007, 61921000119107, 231445001, 141601000119107, 703795004, 722969006, 140621000119106, 88845000, 762278005, 242378005]]
dificultad para mover los labios de forma simétrica (hallazgo)	306746000	hallazgo	0	0	[285477007, 306745001, 306750007, 285483005, 285489009]	0	1.0	3	1.0	[363713009, 116680003, 363714003]	285477007	3	1.0	[363713009, 116680003, 363714003]	285477007	[[363713009, 0], [116680003, 0], [363714003, 0]]	[[371157007, 716467004, 288982008, 284979006, 286105002, 282607006, 289109009, 284888003, 715038000, 284991002], [364956002, 364951007, 364953005, 364954004, 440403006, 364955003, 364966005, 364892002, 364931008, 364965009], [306743008, 285473006, 306745001, 364956002, 285478002, 285484004, 285490000, 285477007, 439791008, 306750007]]	[[363713009, 0], [116680003, 0], [363714003, 0]]	[[371157007, 716467004, 288982008, 284979006, 286105002, 282607006, 289109009, 284888003, 715038000, 284991002], [364956002, 364951007, 364953005, 364954004, 440403006, 364955003, 364966005, 364892002, 364931008, 364965009], [306743008, 285473006, 306745001, 364956002, 285478002, 285484004, 285490000, 285477007, 439791008, 306750007]]
