Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
citrilo - CoA liasa (sustancia)	89453007	sustancia	0	0	[424006, 66103001, 37023004, 87033006, 785897001, 51880001, 79006006, 63307000, 130818002, 87504000]	0	1.0	2	1.0	[116680003, 726542003]	424006	2	1.0	[116680003, 726542003]	424006	[[116680003, 0], [726542003, 0]]	[[21533003, 68101005, 129922006, 771370002, 1672007, 130932001, 26160000, 28598003, 304264009, 130944003], [736202003, 130824008, 82671008, 26304004, 86813000, 130859008, 19013008, 2883002, 28767002, 130850007]]	[[116680003, 0], [726542003, 0]]	[[21533003, 68101005, 129922006, 771370002, 1672007, 130932001, 26160000, 28598003, 304264009, 130944003], [736202003, 130824008, 82671008, 26304004, 86813000, 130859008, 19013008, 2883002, 28767002, 130850007]]
derivación para endoscopia (procedimiento)	266755007	procedimiento	0	0	[306730008, 183876007, 183875006, 183597004, 183874005, 183822007, 440378000, 703939004, 700274009, 306235002]	0	1.0	2	1.0	[116680003, 260686004]	306730008	2	1.0	[116680003, 260686004]	306730008	[[116680003, 0], [260686004, 0]]	[[306235002, 310030000, 308460009, 306190003, 306180006, 306195008, 183523005, 306125004, 306142005, 306132008], [129276002, 424208002, 44383000, 413292001, 129280007, 3457005, 129275003, 129278001, 270058007, 270060009]]	[[116680003, 0], [260686004, 0]]	[[306235002, 310030000, 308460009, 306190003, 306180006, 306195008, 183523005, 306125004, 306142005, 306132008], [129276002, 424208002, 44383000, 413292001, 129280007, 3457005, 129275003, 129278001, 270058007, 270060009]]
hipertrofia de papila anal (trastorno)	85316008	trastorno	0	0	[255225007, 247206004, 49475008, 235582004, 721899000, 721900005, 109624002, 47612000, 247223008, 830296000]	0	1.0	2	1.0	[116680003, 363698007]	255225007	2	1.0	[116680003, 363698007]	255225007	[[116680003, -1], [363698007, -1]]	[[69244009, 21974007, 249382006, 73041003, 25230005, 249878001, 714292002, 95527007, 110343009, 245831007], [21974007, 25230005, 714292002, 73041003, 61344008, 1159005, 66938003, 67261003, 69656004, 47975008]]	[[116680003, -1], [363698007, -1]]	[[69244009, 21974007, 249382006, 73041003, 25230005, 249878001, 714292002, 95527007, 110343009, 245831007], [21974007, 25230005, 714292002, 73041003, 61344008, 1159005, 66938003, 67261003, 69656004, 47975008]]
clorhidrato de memantina (sustancia)	426610008	sustancia	0	0	[386856007, 395848002, 108404000, 71043005, 703116009, 385555005, 2991007, 783113003, 32030002, 703797007]	0	1.0	2	1.0	[116680003, 726542003]	386856007	2	1.0	[116680003, 726542003]	386856007	[[116680003, -1], [726542003, -1]]	[[372521009, 418104001, 419614002, 429890005, 417422007, 91384006, 764391005, 373210007, 764357006, 48070003], [734716009, 763159006, 734735009, 735857003, 734720008, 788649003, 734546009, 763195003, 788628004, 782206004]]	[[116680003, -1], [726542003, -1]]	[[372521009, 418104001, 419614002, 429890005, 417422007, 91384006, 764391005, 373210007, 764357006, 48070003], [734716009, 763159006, 734735009, 735857003, 734720008, 788649003, 734546009, 763195003, 788628004, 782206004]]
cloxacilina (sustancia)	373276005	sustancia	0	0	[96066001, 387544009, 372873001, 16492006, 387170002, 386890003, 387091007, 426208000, 96071008, 346320003]	0	1.0	2	1.0	[116680003, 726542003]	96066001	2	1.0	[116680003, 726542003]	96066001	[[116680003, 0], [726542003, 0]]	[[373277001, 372598006, 113727004, 443474000, 443457000, 431109006, 310649002, 838511009, 68892006, 716530009], [768681000, 88704000, 787994008, 768682007, 764393008, 80343000, 767125008, 788020005, 765175006, 788026004]]	[[116680003, 0], [726542003, 0]]	[[373277001, 372598006, 113727004, 443474000, 443457000, 431109006, 310649002, 838511009, 68892006, 716530009], [768681000, 88704000, 787994008, 768682007, 764393008, 80343000, 767125008, 788020005, 765175006, 788026004]]
enfermedad de Paget de metacarpiano (trastorno)	203338008	trastorno	0	0	[203349002, 203337003, 203344007, 203345008, 203335006, 203334005, 203332009, 203343001, 203336007, 235117006]	0	1.0	2	1.0	[116680003, 363698007]	203349002	2	1.0	[116680003, 363698007]	203349002	[[116680003, 0], [363698007, 1]]	[[2089002, 55413008, 203356008, 109714003, 84727000, 36963005, 111254007, 276481006, 302728008, 44615006], [312780007, 36455000, 11052003, 9498009, 119542006, 53884002, 37858003, 65609007, 7160008, 64807000]]	[[116680003, 0], [363698007, 1]]	[[2089002, 55413008, 203356008, 109714003, 84727000, 36963005, 111254007, 276481006, 302728008, 44615006], [312780007, 36455000, 11052003, 9498009, 119542006, 53884002, 37858003, 65609007, 7160008, 64807000]]
medición sérica de GH a 180 minutos (procedimiento)	313932005	procedimiento	0	0	[313905000, 313902002, 313906004, 313926000, 313931003, 313894005, 313912009, 313985003, 313924002, 313907008]	0	1.0	4	1.0	[116686009, 246093002, 116680003, 260686004]	313905000	4	1.0	[116686009, 246093002, 116680003, 260686004]	313905000	[[116686009, 0], [246093002, 0], [116680003, 0], [260686004, 0]]	[[119364003, 258590006, 122591000, 441578006, 441650000, 441729003, 122590004, 441584009, 737089009, 442555003], [395883003, 395886006, 395887002, 395885005, 732554007, 129495007, 777593001, 772980009, 780505005, 772739006], [271534009, 273971007, 273969007, 313440008, 313904001, 313444004, 166337002, 313445003, 166585000, 166336006], [129266000, 256644001, 367558000, 129410003, 257890000, 129318009, 257935006, 303996000, 277763000, 360038009]]	[[116686009, 0], [246093002, 0], [116680003, 0], [260686004, 0]]	[[119364003, 258590006, 122591000, 441578006, 441650000, 441729003, 122590004, 441584009, 737089009, 442555003], [395883003, 395886006, 395887002, 395885005, 732554007, 129495007, 777593001, 772980009, 780505005, 772739006], [271534009, 273971007, 273969007, 313440008, 313904001, 313444004, 166337002, 313445003, 166585000, 166336006], [129266000, 256644001, 367558000, 129410003, 257890000, 129318009, 257935006, 303996000, 277763000, 360038009]]
sinfisectomía púbica (procedimiento)	133867001	procedimiento	2	2	[426006006, 263012009, 21922009, 724617000, 69119007, 239998007, 263038009, 280009001, 209232001, 208207008]	1	0.5	1	0.25	[116680003]	426006006	3	1.0	[116680003, 260686004, 405813007]	21922009	[[116680003, -1]]	[[397434007, 264207005, 86375009, 397454008, 276197005, 15246001, 722551008, 782715005, 65883009, 721734000]]	[[116680003, -1], [260686004, -1], [405813007, -1]]	[[34896006, 19484001, 260653003, 278735000, 263771001, 278718004, 278721002, 76145000, 260655005, 276916004], [129298006, 129264002, 257890000, 256644001, 277763000, 367558000, 360038009, 129410003, 129318009, 129372002], [16157006, 69555005, 50588006, 80242008, 74133006, 78484006, 525009, 62292008, 63328009, 9854001]]
campo quirúrgico para uso general, reutilizable, estéril (objeto físico)	470548001	objeto físico	0	0	[470401001, 470531009, 704736009, 704914002, 701713004, 701714005, 470556003, 470740005, 701557002, 700628001]	0	1.0	2	1.0	[840562008, 116680003]	470401001	2	1.0	[840562008, 116680003]	470401001	[[840562008, 0], [116680003, 0]]	[[261029002, 275742001, 134823007, 196081006, 336964001, 415584007, 863956004, 391683007, 129124008, 718249000], [706785002, 464948004, 65105002, 700806004, 465180006, 465470002, 468647002, 470181009, 469847005, 463747006]]	[[840562008, 0], [116680003, 0]]	[[261029002, 275742001, 134823007, 196081006, 336964001, 415584007, 863956004, 391683007, 129124008, 718249000], [706785002, 464948004, 65105002, 700806004, 465180006, 465470002, 468647002, 470181009, 469847005, 463747006]]
producto que contiene exactamente primidona 50 miligramos/1 mililitro, suspensión de liberación convencional para administración oral (fármaco de uso clínico)	371194003	fármaco de uso clínico	0	0	[324005008, 375391008, 376631009, 413804001, 408039005, 317430009, 784817005, 323888003, 322239002, 766547008]	0	1.0	9	0.9	[411116001, 116680003, 766952006, 733724008, 733725009, 733722007, 762949000, 733723002, 732943007]	324005008	9	0.9	[411116001, 116680003, 766952006, 733724008, 733725009, 733722007, 762949000, 733723002, 732943007]	324005008	[[411116001, 0], [116680003, 0], [766952006, 0], [733724008, 0], [733725009, 0], [733722007, 0], [762949000, 0], [733723002, 0], [732943007, 0]]	[[385024007, 421366001, 385032004, 769120006, 385193009, 422353003, 385188006, 385071001, 385027000, 422080000], [780287000, 780098005, 780711005, 779213006, 778799002, 780616006, 780763003, 778582000, 778213003, 779446002], [38112003, 708708008, 262049008, 262052000, 261768000, 697941000, 102782009, 697940004, 96002002, 82609006], [732774003, 278495003, 409646007, 278496002, 409079006, 387256009, 337570006, 337572003, 337566003, 337568002], [258684004, 408169001, 414718005, 258916009, 418670008, 427264006, 418148006, 258797006, 258685003, 258927006], [258773002, 419346007, 259035002, 418261000, 418342002, 258862002, 419805009, 418948007, 258808001, 417932008], [387256009, 126101002, 387244008, 70732003, 387572002, 78702007, 387210001, 113087005, 387252006, 395755006], [38112003, 708708008, 262049008, 262052000, 261768000, 697941000, 102782009, 697940004, 96002002, 82609006], [387256009, 126101002, 387244008, 70732003, 387572002, 78702007, 387210001, 113087005, 387252006, 395755006]]	[[411116001, 0], [116680003, 0], [766952006, 0], [733724008, 0], [733725009, 0], [733722007, 0], [762949000, 0], [733723002, 0], [732943007, 0]]	[[385024007, 421366001, 385032004, 769120006, 385193009, 422353003, 385188006, 385071001, 385027000, 422080000], [780287000, 780098005, 780711005, 779213006, 778799002, 780616006, 780763003, 778582000, 778213003, 779446002], [38112003, 708708008, 262049008, 262052000, 261768000, 697941000, 102782009, 697940004, 96002002, 82609006], [732774003, 278495003, 409646007, 278496002, 409079006, 387256009, 337570006, 337572003, 337566003, 337568002], [258684004, 408169001, 414718005, 258916009, 418670008, 427264006, 418148006, 258797006, 258685003, 258927006], [258773002, 419346007, 259035002, 418261000, 418342002, 258862002, 419805009, 418948007, 258808001, 417932008], [387256009, 126101002, 387244008, 70732003, 387572002, 78702007, 387210001, 113087005, 387252006, 395755006], [38112003, 708708008, 262049008, 262052000, 261768000, 697941000, 102782009, 697940004, 96002002, 82609006], [387256009, 126101002, 387244008, 70732003, 387572002, 78702007, 387210001, 113087005, 387252006, 395755006]]
