Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
producto que contiene exactamente clorhidrato de desipramina 50 miligramos por cada comprimido para administración oral de liberación convencional (fármaco de uso clínico)	375530008	fármaco de uso clínico	0	0	[321843006, 375370000, 376689003, 374626009, 376658002, 371142000, 371743002, 441611004, 371955003, 375170009]	0	1.0	11	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 762949000, 732946004, 766939001, 732943007]	321843006	11	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 762949000, 732946004, 766939001, 732943007]	321843006	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [762949000, 0], [732946004, 0], [766939001, 0], [732943007, 0]]	[[385055001, 732936001, 761877007, 421595009, 322992003, 66076007, 375986003, 785042007, 322991005, 322890005], [421026006, 764780001, 421366001, 764774009, 385032004, 420692007, 385085006, 783749008, 421873001, 385060002], [732774003, 278495003, 278496002, 409079006, 337572003, 337570006, 337566003, 235469009, 337568002, 59932003], [778938000, 779771003, 778810007, 778314006, 780319009, 778799002, 779928004, 780685002, 780309003, 779542002], [385055001, 732936001, 761877007, 421595009, 322992003, 66076007, 375986003, 785042007, 322991005, 322890005], [38112003, 261768000, 262049008, 262052000, 708708008, 697941000, 697940004, 264614004, 82609006, 96002002], [258684004, 408169001, 414718005, 418670008, 258797006, 258916009, 418148006, 258798001, 258796002, 396163008], [26120001, 387027004, 10424009, 46950002, 58956008, 55124001, 3378009, 37765000, 108501006, 396037001], [38112003, 261768000, 262049008, 262052000, 708708008, 697941000, 697940004, 264614004, 82609006, 96002002], [773864007, 773883000, 773862006, 773865008, 773873004, 773923003, 773876007, 773915000, 773885007, 788084003], [26120001, 387027004, 10424009, 46950002, 58956008, 55124001, 3378009, 37765000, 108501006, 396037001]]	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [762949000, 0], [732946004, 0], [766939001, 0], [732943007, 0]]	[[385055001, 732936001, 761877007, 421595009, 322992003, 66076007, 375986003, 785042007, 322991005, 322890005], [421026006, 764780001, 421366001, 764774009, 385032004, 420692007, 385085006, 783749008, 421873001, 385060002], [732774003, 278495003, 278496002, 409079006, 337572003, 337570006, 337566003, 235469009, 337568002, 59932003], [778938000, 779771003, 778810007, 778314006, 780319009, 778799002, 779928004, 780685002, 780309003, 779542002], [385055001, 732936001, 761877007, 421595009, 322992003, 66076007, 375986003, 785042007, 322991005, 322890005], [38112003, 261768000, 262049008, 262052000, 708708008, 697941000, 697940004, 264614004, 82609006, 96002002], [258684004, 408169001, 414718005, 418670008, 258797006, 258916009, 418148006, 258798001, 258796002, 396163008], [26120001, 387027004, 10424009, 46950002, 58956008, 55124001, 3378009, 37765000, 108501006, 396037001], [38112003, 261768000, 262049008, 262052000, 708708008, 697941000, 697940004, 264614004, 82609006, 96002002], [773864007, 773883000, 773862006, 773865008, 773873004, 773923003, 773876007, 773915000, 773885007, 788084003], [26120001, 387027004, 10424009, 46950002, 58956008, 55124001, 3378009, 37765000, 108501006, 396037001]]
fractura de Quervain (trastorno)	46773004	trastorno	0	0	[87905008, 27094009, 30060003, 263241008, 263180005, 26176009, 123973009, 82640004, 61653009, 123971006]	0	1.0	3	1.0	[116676008, 116680003, 363698007]	87905008	3	1.0	[116676008, 116680003, 363698007]	87905008	[[116676008, 1], [116680003, -1], [363698007, -1]]	[[699532008, 72704001, 9661000, 73737008, 87905008, 263241008, 263180005, 30060003, 27094009, 13321001], [278537006, 263242001, 208637008, 263232003, 208638003, 263199001, 208639006, 31978002, 6990005, 208621002], [64605006, 20285007, 91238003, 12611008, 118495001, 312715005, 85401006, 52687003, 719495000, 719496004]]	[[116676008, 1], [116680003, -1], [363698007, -1]]	[[699532008, 72704001, 9661000, 73737008, 87905008, 263241008, 263180005, 30060003, 27094009, 13321001], [278537006, 263242001, 208637008, 263232003, 208638003, 263199001, 208639006, 31978002, 6990005, 208621002], [64605006, 20285007, 91238003, 12611008, 118495001, 312715005, 85401006, 52687003, 719495000, 719496004]]
vena safena externa [como un todo] (estructura corporal)	181404009	estructura corporal	0	0	[181402008, 731339000, 732135003, 361642000, 9231002, 714755003, 730650001, 302677006, 181373000, 181400000]	0	1.0	2	1.0	[116680003, 272741003]	181402008	2	1.0	[116680003, 272741003]	181402008	[[116680003, 0], [272741003, 0]]	[[26805005, 60734001, 422849006, 423152005, 362072009, 175831002, 175818007, 210871006, 79908009, 414369008], [182353008, 437882009, 709880000, 384727002, 279204001, 369104008, 369068006, 728639007, 728926006, 244486005]]	[[116680003, 0], [272741003, 0]]	[[26805005, 60734001, 422849006, 423152005, 362072009, 175831002, 175818007, 210871006, 79908009, 414369008], [182353008, 437882009, 709880000, 384727002, 279204001, 369104008, 369068006, 728639007, 728926006, 244486005]]
hiperplasia congénita de las glándulas sebáceas del labio (trastorno)	27680009	trastorno	0	0	[235700007, 19845004, 65274008, 126884005, 35419003, 123637000, 92833001, 126490003, 92273004, 253755003]	0	1.0	2	0.6667	[116676008, 116680003]	235700007	2	0.6667	[116676008, 116680003]	235700007	[[116676008, 5], [116680003, 0]]	[[2953007, 10653003, 112669001, 254665009, 88000003, 76197007, 237677002, 697962004, 33387006, 237676006], [109549008, 428543009, 11102005, 204647002, 128336000, 48477009, 90678009, 364128008, 126763008, 236779000]]	[[116676008, 5], [116680003, 0]]	[[2953007, 10653003, 112669001, 254665009, 88000003, 76197007, 237677002, 697962004, 33387006, 237676006], [109549008, 428543009, 11102005, 204647002, 128336000, 48477009, 90678009, 364128008, 126763008, 236779000]]
apófisis clinoides media [como un todo] (estructura corporal)	139885000	estructura corporal	0	0	[729830000, 140188009, 369004005, 139986003, 727164007, 730236002, 727419002, 730054009, 730275006, 730196005]	0	1.0	2	1.0	[116680003, 272741003]	729830000	2	1.0	[116680003, 272741003]	729830000	[[116680003, -1], [272741003, 7]]	[[306373001, 360777002, 279226000, 8854008, 241045007, 1172006, 27807007, 280004006, 280002005, 65000005], [49252004, 255586005, 82497007, 369121004, 729465007, 729557006, 278100005, 182353008, 727419002, 369035004]]	[[116680003, -1], [272741003, 7]]	[[306373001, 360777002, 279226000, 8854008, 241045007, 1172006, 27807007, 280004006, 280002005, 65000005], [49252004, 255586005, 82497007, 369121004, 729465007, 729557006, 278100005, 182353008, 727419002, 369035004]]
termometría con cristales líquidos (procedimiento)	252463007	procedimiento	3	3	[251840008, 264514008, 439081000124109, 24426001, 6528000, 104424009, 167347005, 16590001, 8129006, 711005003]	0	1.0	1	1.0	[116680003]	251840008	2	0.5	[116680003, 260686004]	24426001	[[116680003, -1]]	[[364400009, 300892001, 225394004, 251846002, 816163006, 363826003, 427758000, 42957001, 397916001, 816081007]]	[[116680003, -1], [260686004, -1]]	[[264514008, 18834007, 201637001, 86787000, 78592004, 112654002, 103630008, 201625003, 8129006, 312280008], [129410003, 129318009, 257890000, 277763000, 367558000, 129301005, 256644001, 129291000, 257935006, 360084004]]
cuerpo extraño en la piel de la palma de la mano (trastorno)	298082009	trastorno	0	0	[298080001, 298081002, 298097007, 298099005, 298079004, 298066008, 298100002, 283203007, 298064006, 298068009]	0	1.0	3	1.0	[116676008, 116680003, 363698007]	298080001	3	1.0	[116676008, 116680003, 363698007]	298080001	[[116676008, -1], [116680003, 5], [363698007, 3]]	[[298099005, 283162007, 298080001, 298100002, 298097007, 298066008, 298079004, 298072008, 298064006, 298081002], [298092001, 298073003, 298099005, 298097007, 298100002, 298080001, 298081002, 298079004, 298075005, 298068009], [33712006, 89784008, 26795005, 70887009, 24785000, 21548009, 782450001, 782451002, 24527008, 52876008]]	[[116676008, -1], [116680003, 5], [363698007, 3]]	[[298099005, 283162007, 298080001, 298100002, 298097007, 298066008, 298079004, 298072008, 298064006, 298081002], [298092001, 298073003, 298099005, 298097007, 298100002, 298080001, 298081002, 298079004, 298075005, 298068009], [33712006, 89784008, 26795005, 70887009, 24785000, 21548009, 782450001, 782451002, 24527008, 52876008]]
producto que contiene exactamente clorhidrato de milnaciprán 25 miligramos por cada comprimido para administración oral de liberación convencional (fármaco de uso clínico)	441568008	fármaco de uso clínico	0	0	[410916007, 375369001, 375539009, 374536006, 321842001, 703778007, 409460004, 321498009, 373949001, 375529003]	0	1.0	10	0.9091	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	410916007	10	0.9091	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	410916007	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [732946004, 0], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 733000006, 66076007, 447079001, 322991005, 385087003, 785042007], [421026006, 764780001, 421366001, 764774009, 385085006, 420692007, 385032004, 421873001, 385060002, 783749008], [725124009, 67517005, 278495003, 278494004, 707603007, 447678008, 74023000, 707053000, 377483004, 377264009], [779905000, 778766004, 780765005, 779032007, 780813001, 779903007, 779836009, 780376006, 779801005, 778555008], [385055001, 732936001, 421595009, 761877007, 733000006, 66076007, 447079001, 322991005, 385087003, 785042007], [38112003, 261768000, 262049008, 262052000, 697941000, 708708008, 697940004, 264614004, 96002002, 82609006], [258684004, 408169001, 414718005, 418670008, 258797006, 258798001, 418830004, 258916009, 427264006, 396163008], [38112003, 261768000, 262049008, 262052000, 697941000, 708708008, 697940004, 264614004, 96002002, 82609006], [442642007, 32030002, 387363006, 442699004, 1956002, 55124001, 395904008, 6088007, 87090006, 426686007], [442642007, 32030002, 387363006, 442699004, 1956002, 55124001, 395904008, 6088007, 87090006, 426686007]]	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [732946004, 0], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 733000006, 66076007, 447079001, 322991005, 385087003, 785042007], [421026006, 764780001, 421366001, 764774009, 385085006, 420692007, 385032004, 421873001, 385060002, 783749008], [725124009, 67517005, 278495003, 278494004, 707603007, 447678008, 74023000, 707053000, 377483004, 377264009], [779905000, 778766004, 780765005, 779032007, 780813001, 779903007, 779836009, 780376006, 779801005, 778555008], [385055001, 732936001, 421595009, 761877007, 733000006, 66076007, 447079001, 322991005, 385087003, 785042007], [38112003, 261768000, 262049008, 262052000, 697941000, 708708008, 697940004, 264614004, 96002002, 82609006], [258684004, 408169001, 414718005, 418670008, 258797006, 258798001, 418830004, 258916009, 427264006, 396163008], [38112003, 261768000, 262049008, 262052000, 697941000, 708708008, 697940004, 264614004, 96002002, 82609006], [442642007, 32030002, 387363006, 442699004, 1956002, 55124001, 395904008, 6088007, 87090006, 426686007], [442642007, 32030002, 387363006, 442699004, 1956002, 55124001, 395904008, 6088007, 87090006, 426686007]]
endocarditis de prótesis de válvula tricúspide (trastorno)	703190002	trastorno	0	0	[703179007, 703189006, 703201004, 703191003, 703287002, 703292000, 472831008, 17107009, 84683006, 736893007]	0	1.0	4	0.8	[116676008, 116680003, 255234002, 363698007]	703179007	4	0.8	[116676008, 116680003, 255234002, 363698007]	703179007	[[116676008, 0], [116680003, 0], [255234002, 1], [363698007, 3]]	[[409774005, 409776007, 409775006, 409777003, 127582006, 72724002, 723198002, 417373000, 50540008, 281371002], [473086001, 473090004, 473060006, 473101005, 473036007, 473095009, 473048005, 473088000, 473075003, 473025000], [77181006, 8069005, 79917009, 35350000, 47432005, 39883008, 767701006, 733689006, 62826009, 700982004], [708080005, 711570001, 711577003, 711576007, 711579000, 711578008, 46030003, 711571002, 711572009, 32427001]]	[[116676008, 0], [116680003, 0], [255234002, 1], [363698007, 3]]	[[409774005, 409776007, 409775006, 409777003, 127582006, 72724002, 723198002, 417373000, 50540008, 281371002], [473086001, 473090004, 473060006, 473101005, 473036007, 473095009, 473048005, 473088000, 473075003, 473025000], [77181006, 8069005, 79917009, 35350000, 47432005, 39883008, 767701006, 733689006, 62826009, 700982004], [708080005, 711570001, 711577003, 711576007, 711579000, 711578008, 46030003, 711571002, 711572009, 32427001]]
puente de estómago por anastomosis de esófago a duodeno (procedimiento)	173740007	procedimiento	0	0	[265365007, 173748000, 305621000, 173858006, 173586007, 173857001, 265381002, 448190006, 173560002, 304060006]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	265365007	3	1.0	[116680003, 260686004, 405813007]	265365007	[[116680003, 4], [260686004, 0], [405813007, 0]]	[[110772008, 173586007, 302914006, 74284004, 265344001, 173590009, 235638001, 32918006, 56463006, 303565004], [360021005, 360324009, 129407005, 277763000, 233378000, 281698007, 367558000, 360084004, 360082000, 129372002], [38848004, 9566001, 32849002, 714325007, 77763002, 15103007, 19017009, 78540008, 60075002, 302914006]]	[[116680003, 4], [260686004, 0], [405813007, 0]]	[[110772008, 173586007, 302914006, 74284004, 265344001, 173590009, 235638001, 32918006, 56463006, 303565004], [360021005, 360324009, 129407005, 277763000, 233378000, 281698007, 367558000, 360084004, 360082000, 129372002], [38848004, 9566001, 32849002, 714325007, 77763002, 15103007, 19017009, 78540008, 60075002, 302914006]]
