Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
producto que contiene exactamente clorhidrato de desipramina 50 miligramos por cada comprimido para administración oral de liberación convencional (fármaco de uso clínico)	375530008	fármaco de uso clínico	0	0	[321843006, 376689003, 376658002, 374626009, 371743002, 375370000, 371142000, 375170009, 371955003, 321499001]	0	1.0	11	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 762949000, 732946004, 766939001, 732943007]	321843006	11	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 762949000, 732946004, 766939001, 732943007]	321843006	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [762949000, 0], [732946004, 0], [766939001, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 385057009, 733000006, 385087003, 66076007, 785045009, 322992003], [421026006, 764780001, 421366001, 764774009, 385032004, 385085006, 385060002, 385039008, 783749008, 421873001], [732774003, 278495003, 409079006, 278496002, 337570006, 337572003, 337566003, 337568002, 409646007, 59932003], [778938000, 778810007, 778799002, 779771003, 778314006, 780685002, 780319009, 780309003, 779923008, 779982000], [385055001, 732936001, 421595009, 761877007, 385057009, 733000006, 385087003, 66076007, 785045009, 322992003], [38112003, 708708008, 262052000, 261768000, 262049008, 697941000, 697940004, 96002002, 264614004, 82609006], [258684004, 408169001, 414718005, 418670008, 258797006, 258916009, 258927006, 258798001, 258796002, 396163008], [26120001, 387027004, 10424009, 58956008, 46950002, 108501006, 108436007, 3378009, 419484002, 6088007], [38112003, 708708008, 262052000, 261768000, 262049008, 697941000, 697940004, 96002002, 264614004, 82609006], [773864007, 773883000, 773881003, 789696002, 788067009, 773871002, 773862006, 773899006, 773915000, 773912002], [26120001, 387027004, 10424009, 58956008, 46950002, 108501006, 108436007, 3378009, 419484002, 6088007]]	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [762949000, 0], [732946004, 0], [766939001, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 385057009, 733000006, 385087003, 66076007, 785045009, 322992003], [421026006, 764780001, 421366001, 764774009, 385032004, 385085006, 385060002, 385039008, 783749008, 421873001], [732774003, 278495003, 409079006, 278496002, 337570006, 337572003, 337566003, 337568002, 409646007, 59932003], [778938000, 778810007, 778799002, 779771003, 778314006, 780685002, 780319009, 780309003, 779923008, 779982000], [385055001, 732936001, 421595009, 761877007, 385057009, 733000006, 385087003, 66076007, 785045009, 322992003], [38112003, 708708008, 262052000, 261768000, 262049008, 697941000, 697940004, 96002002, 264614004, 82609006], [258684004, 408169001, 414718005, 418670008, 258797006, 258916009, 258927006, 258798001, 258796002, 396163008], [26120001, 387027004, 10424009, 58956008, 46950002, 108501006, 108436007, 3378009, 419484002, 6088007], [38112003, 708708008, 262052000, 261768000, 262049008, 697941000, 697940004, 96002002, 264614004, 82609006], [773864007, 773883000, 773881003, 789696002, 788067009, 773871002, 773862006, 773899006, 773915000, 773912002], [26120001, 387027004, 10424009, 58956008, 46950002, 108501006, 108436007, 3378009, 419484002, 6088007]]
fractura de Quervain (trastorno)	46773004	trastorno	0	0	[87905008, 263241008, 30060003, 27094009, 263180005, 26176009, 123973009, 82640004, 61653009, 58722007]	0	1.0	3	1.0	[116676008, 116680003, 363698007]	87905008	3	1.0	[116676008, 116680003, 363698007]	87905008	[[116676008, 1], [116680003, -1], [363698007, -1]]	[[699532008, 72704001, 9661000, 263241008, 87905008, 30060003, 46675001, 13321001, 27094009, 73737008], [278537006, 263242001, 208637008, 208639006, 208638003, 263232003, 31978002, 441496000, 263199001, 208621002], [64605006, 20285007, 85401006, 91238003, 118495001, 12611008, 719495000, 312715005, 719496004, 52687003]]	[[116676008, 1], [116680003, -1], [363698007, -1]]	[[699532008, 72704001, 9661000, 263241008, 87905008, 30060003, 46675001, 13321001, 27094009, 73737008], [278537006, 263242001, 208637008, 208639006, 208638003, 263232003, 31978002, 441496000, 263199001, 208621002], [64605006, 20285007, 85401006, 91238003, 118495001, 12611008, 719495000, 312715005, 719496004, 52687003]]
vena safena externa [como un todo] (estructura corporal)	181404009	estructura corporal	0	0	[181402008, 731339000, 732135003, 361642000, 714755003, 9231002, 181373000, 730650001, 731397001, 302677006]	0	1.0	2	1.0	[116680003, 272741003]	181402008	2	1.0	[116680003, 272741003]	181402008	[[116680003, 0], [272741003, 0]]	[[26805005, 422849006, 60734001, 423152005, 175831002, 362072009, 79908009, 175818007, 210871006, 71585003], [182353008, 19373007, 228221004, 231591006, 402207002, 46252003, 21543000, 232243009, 79972006, 469237001]]	[[116680003, 0], [272741003, 0]]	[[26805005, 422849006, 60734001, 423152005, 175831002, 362072009, 79908009, 175818007, 210871006, 71585003], [182353008, 19373007, 228221004, 231591006, 402207002, 46252003, 21543000, 232243009, 79972006, 469237001]]
hiperplasia congénita de las glándulas sebáceas del labio (trastorno)	27680009	trastorno	0	0	[235700007, 19845004, 65274008, 126884005, 88232005, 123637000, 35419003, 126490003, 92273004, 253755003]	0	1.0	2	0.6667	[116676008, 116680003]	235700007	2	0.6667	[116676008, 116680003]	235700007	[[116676008, 9], [116680003, 0]]	[[10653003, 697962004, 112669001, 254665009, 2953007, 237676006, 783152005, 237677002, 88000003, 76197007], [109549008, 90678009, 11102005, 428543009, 128336000, 204647002, 126763008, 253839002, 301350008, 236779000]]	[[116676008, 9], [116680003, 0]]	[[10653003, 697962004, 112669001, 254665009, 2953007, 237676006, 783152005, 237677002, 88000003, 76197007], [109549008, 90678009, 11102005, 428543009, 128336000, 204647002, 126763008, 253839002, 301350008, 236779000]]
apófisis clinoides media [como un todo] (estructura corporal)	139885000	estructura corporal	0	0	[140188009, 369004005, 729830000, 139986003, 730236002, 727164007, 727419002, 730054009, 730196005, 244276007]	0	1.0	2	1.0	[116680003, 272741003]	140188009	2	1.0	[116680003, 272741003]	140188009	[[116680003, 2], [272741003, -1]]	[[69148001, 8854008, 82932007, 43466000, 46117001, 64322004, 42881009, 78492002, 76016004, 59417004], [255586005, 82497007, 49252004, 255264005, 2272004, 65192005, 255263004, 399488007, 224855002, 32176000]]	[[116680003, 2], [272741003, -1]]	[[69148001, 8854008, 82932007, 43466000, 46117001, 64322004, 42881009, 78492002, 76016004, 59417004], [255586005, 82497007, 49252004, 255264005, 2272004, 65192005, 255263004, 399488007, 224855002, 32176000]]
termometría con cristales líquidos (procedimiento)	252463007	procedimiento	0	0	[104424009, 264514008, 439081000124109, 251840008, 78534001, 16590001, 430701006, 405537002, 85957009, 439061000124104]	0	1.0	2	0.5	[116680003, 260686004]	104424009	2	0.5	[116680003, 260686004]	104424009	[[116680003, -1], [260686004, -1]]	[[227637003, 86988001, 54177000, 264296008, 273065003, 20761000, 50148008, 83688008, 392123009, 263495000], [367558000, 257890000, 277763000, 129318009, 256644001, 129410003, 129291000, 129372002, 360038009, 278312000]]	[[116680003, -1], [260686004, -1]]	[[227637003, 86988001, 54177000, 264296008, 273065003, 20761000, 50148008, 83688008, 392123009, 263495000], [367558000, 257890000, 277763000, 129318009, 256644001, 129410003, 129291000, 129372002, 360038009, 278312000]]
cuerpo extraño en la piel de la palma de la mano (trastorno)	298082009	trastorno	0	0	[298080001, 298081002, 298099005, 298097007, 298100002, 298079004, 298064006, 298072008, 275453008, 283203007]	0	1.0	3	1.0	[116676008, 116680003, 363698007]	298080001	3	1.0	[116676008, 116680003, 363698007]	298080001	[[116676008, -1], [116680003, 6], [363698007, 3]]	[[298099005, 283162007, 298100002, 405706000, 298080001, 298097007, 211311003, 234928001, 298064006, 298081002], [298092001, 298073003, 298099005, 298081002, 298100002, 298097007, 298080001, 298079004, 298094000, 298063000], [89784008, 26795005, 33712006, 70887009, 21548009, 24785000, 782451002, 782450001, 281644008, 24527008]]	[[116676008, -1], [116680003, 6], [363698007, 3]]	[[298099005, 283162007, 298100002, 405706000, 298080001, 298097007, 211311003, 234928001, 298064006, 298081002], [298092001, 298073003, 298099005, 298081002, 298100002, 298097007, 298080001, 298079004, 298094000, 298063000], [89784008, 26795005, 33712006, 70887009, 21548009, 24785000, 782451002, 782450001, 281644008, 24527008]]
producto que contiene exactamente clorhidrato de milnaciprán 25 miligramos por cada comprimido para administración oral de liberación convencional (fármaco de uso clínico)	441568008	fármaco de uso clínico	0	0	[410916007, 375369001, 375539009, 374536006, 321842001, 703778007, 321498009, 409460004, 373949001, 375529003]	0	1.0	10	0.9091	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	410916007	10	0.9091	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	410916007	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [732946004, 0], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 733000006, 385087003, 785074000, 785076003, 785042007, 66076007], [421026006, 764780001, 421366001, 385032004, 764774009, 385085006, 385060002, 385039008, 421873001, 420692007], [725124009, 67517005, 278495003, 707603007, 278494004, 447678008, 273092009, 74023000, 707053000, 102373000], [779905000, 779032007, 778555008, 780765005, 778766004, 779903007, 778991008, 779836009, 779263001, 779928004], [385055001, 732936001, 421595009, 761877007, 733000006, 385087003, 785074000, 785076003, 785042007, 66076007], [38112003, 262052000, 261768000, 262049008, 708708008, 697941000, 697940004, 264614004, 96002002, 102782009], [258684004, 408169001, 418670008, 414718005, 258797006, 258798001, 258927006, 258916009, 258796002, 396163008], [38112003, 262052000, 261768000, 262049008, 708708008, 697941000, 697940004, 264614004, 96002002, 102782009], [442642007, 32030002, 1956002, 387363006, 6088007, 55124001, 87090006, 108531000, 442699004, 426686007], [442642007, 32030002, 1956002, 387363006, 6088007, 55124001, 87090006, 108531000, 442699004, 426686007]]	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [732946004, 0], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 733000006, 385087003, 785074000, 785076003, 785042007, 66076007], [421026006, 764780001, 421366001, 385032004, 764774009, 385085006, 385060002, 385039008, 421873001, 420692007], [725124009, 67517005, 278495003, 707603007, 278494004, 447678008, 273092009, 74023000, 707053000, 102373000], [779905000, 779032007, 778555008, 780765005, 778766004, 779903007, 778991008, 779836009, 779263001, 779928004], [385055001, 732936001, 421595009, 761877007, 733000006, 385087003, 785074000, 785076003, 785042007, 66076007], [38112003, 262052000, 261768000, 262049008, 708708008, 697941000, 697940004, 264614004, 96002002, 102782009], [258684004, 408169001, 418670008, 414718005, 258797006, 258798001, 258927006, 258916009, 258796002, 396163008], [38112003, 262052000, 261768000, 262049008, 708708008, 697941000, 697940004, 264614004, 96002002, 102782009], [442642007, 32030002, 1956002, 387363006, 6088007, 55124001, 87090006, 108531000, 442699004, 426686007], [442642007, 32030002, 1956002, 387363006, 6088007, 55124001, 87090006, 108531000, 442699004, 426686007]]
endocarditis de prótesis de válvula tricúspide (trastorno)	703190002	trastorno	0	0	[703179007, 703189006, 703201004, 472831008, 703191003, 703287002, 703200003, 703292000, 736893007, 17107009]	0	1.0	4	0.8	[116676008, 116680003, 255234002, 363698007]	703179007	4	0.8	[116676008, 116680003, 255234002, 363698007]	703179007	[[116676008, 0], [116680003, 0], [255234002, 1], [363698007, 3]]	[[409774005, 409775006, 409776007, 409777003, 127582006, 72724002, 723198002, 189982000, 134344003, 108371000119108], [473086001, 473090004, 473060006, 473036007, 473101005, 473095009, 473088000, 473100006, 473075003, 473048005], [77181006, 8069005, 79917009, 35350000, 47432005, 39883008, 62826009, 767701006, 733689006, 6536009], [708080005, 711577003, 711570001, 711576007, 46030003, 711579000, 711578008, 32427001, 711571002, 91134007]]	[[116676008, 0], [116680003, 0], [255234002, 1], [363698007, 3]]	[[409774005, 409775006, 409776007, 409777003, 127582006, 72724002, 723198002, 189982000, 134344003, 108371000119108], [473086001, 473090004, 473060006, 473036007, 473101005, 473095009, 473088000, 473100006, 473075003, 473048005], [77181006, 8069005, 79917009, 35350000, 47432005, 39883008, 62826009, 767701006, 733689006, 6536009], [708080005, 711577003, 711570001, 711576007, 46030003, 711579000, 711578008, 32427001, 711571002, 91134007]]
puente de estómago por anastomosis de esófago a duodeno (procedimiento)	173740007	procedimiento	0	0	[265365007, 173748000, 305621000, 173586007, 173858006, 173857001, 173560002, 265381002, 448190006, 304060006]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	265365007	3	1.0	[116680003, 260686004, 405813007]	265365007	[[116680003, 7], [260686004, 0], [405813007, 0]]	[[302914006, 110772008, 427225008, 195565004, 735725007, 63305008, 110725008, 265344001, 300286002, 303565004], [360021005, 360082000, 129407005, 129286001, 129297001, 281698007, 360393008, 129374001, 257878002, 360084004], [38848004, 9566001, 714325007, 77763002, 78540008, 32849002, 60075002, 12515005, 44365008, 19017009]]	[[116680003, 7], [260686004, 0], [405813007, 0]]	[[302914006, 110772008, 427225008, 195565004, 735725007, 63305008, 110725008, 265344001, 300286002, 303565004], [360021005, 360082000, 129407005, 129286001, 129297001, 281698007, 360393008, 129374001, 257878002, 360084004], [38848004, 9566001, 714325007, 77763002, 78540008, 32849002, 60075002, 12515005, 44365008, 19017009]]
