Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
insuficiencia respiratoria hipoxémica crónica reagudizada (trastorno)	10672271000119100	trastorno	0	0	[7361000175106, 67905004, 20091000175107, 428173007, 426896000, 709111008, 709110009, 427896006, 735386008, 10676831000119101]	0	1.0	3	1.0	[116680003, 263502005, 363698007]	7361000175106	3	1.0	[116680003, 263502005, 363698007]	7361000175106	[[116680003, 0], [263502005, 0], [363698007, 0]]	[[67905004, 7361000175106, 428173007, 427896006, 20091000175107, 426896000, 709111008, 236433006, 443344007, 709110009], [255212004, 238561006, 314017009, 90734009, 160900005, 236582008, 402219005, 402221000, 25649003, 716771000], [20139000, 448708002, 50043002, 268925001, 386043001, 714323000, 118969007, 86762007, 287532007, 113257007]]	[[116680003, 0], [263502005, 0], [363698007, 0]]	[[67905004, 7361000175106, 428173007, 427896006, 20091000175107, 426896000, 709111008, 236433006, 443344007, 709110009], [255212004, 238561006, 314017009, 90734009, 160900005, 236582008, 402219005, 402221000, 25649003, 716771000], [20139000, 448708002, 50043002, 268925001, 386043001, 714323000, 118969007, 86762007, 287532007, 113257007]]
resonancia magnética de columna vertebral de feto (procedimiento)	443079000	procedimiento	0	0	[241645008, 241648005, 241647000, 711185003, 432152009, 417726009, 241646009, 431985004, 711184004, 416841005]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	241645008	3	1.0	[116680003, 260686004, 405813007]	241645008	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[414458006, 432850003, 495741000119105, 411571000119106, 411611000119102, 394451000119106, 571891000119109, 396171000119100, 764568007, 409771000119104], [312250003, 764577000, 16327691000119101, 4251000179103, 382911000119105, 764550009, 764571004, 489801000119103, 719178004, 16334561000119101], [53418001, 30340003, 304037003, 6989001, 75160005, 7874003, 3865001, 699692001, 286591006, 362665007]]	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[414458006, 432850003, 495741000119105, 411571000119106, 411611000119102, 394451000119106, 571891000119109, 396171000119100, 764568007, 409771000119104], [312250003, 764577000, 16327691000119101, 4251000179103, 382911000119105, 764550009, 764571004, 489801000119103, 719178004, 16334561000119101], [53418001, 30340003, 304037003, 6989001, 75160005, 7874003, 3865001, 699692001, 286591006, 362665007]]
llanto excesivo en el recién nacido (hallazgo)	95629002	hallazgo	1	1	[735747007, 240301009, 48000002, 51978008, 87476004, 431335002, 72552008, 315420004, 276715006, 433237003]	0	1.0	1	0.25	[116680003]	735747007	2	1.0	[116680003, 363714003]	240301009	[[116680003, 0]]	[[162213003, 788918005, 735639001, 735640004, 275925003, 233776003, 247784003, 260378005, 12161000119107, 28263002]]	[[116680003, -1], [363714003, -1]]	[[72552008, 49415001, 371105007, 735747007, 87476004, 48000002, 55331005, 134251000119105, 51978008, 431335002], [364645004, 364656004, 364660001, 365968000, 110353005, 364647007, 364393001, 363896009, 364663004, 228324005]]
obtención y preparación de epiplón mayor (procedimiento)	180850006	procedimiento	0	0	[180826009, 256777008, 733474006, 180851005, 309065004, 180662008, 238307009, 180718007, 180793002, 309069005]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	180826009	3	1.0	[116680003, 260686004, 405813007]	180826009	[[116680003, -1], [260686004, 0], [405813007, -1]]	[[180660000, 360025001, 44945006, 67954006, 233462003, 74909004, 57299007, 89106004, 448365004, 709107002], [360025001, 180660000, 67954006, 233462003, 448365004, 53958007, 419656003, 448361008, 74909004, 709107002], [280342008, 245076006, 245085006, 245136004, 245183002, 362925006, 245110006, 25541006, 82465007, 88340001]]	[[116680003, -1], [260686004, 0], [405813007, -1]]	[[180660000, 360025001, 44945006, 67954006, 233462003, 74909004, 57299007, 89106004, 448365004, 709107002], [360025001, 180660000, 67954006, 233462003, 448365004, 53958007, 419656003, 448361008, 74909004, 709107002], [280342008, 245076006, 245085006, 245136004, 245183002, 362925006, 245110006, 25541006, 82465007, 88340001]]
catarata en hipoparatiroidismo (trastorno)	231971006	trastorno	0	0	[717893006, 247064005, 240091005, 95724003, 36976004, 717894000, 359743001, 128306009, 193570009, 285096004]	0	1.0	4	1.0	[116676008, 116680003, 363698007, 42752001]	717893006	4	1.0	[116676008, 116680003, 363698007, 42752001]	717893006	[[116676008, 0], [116680003, -1], [363698007, 0], [42752001, -1]]	[[128305008, 38422002, 50822002, 370950002, 371880002, 401180009, 19730000, 128308005, 64634000, 36350006], [128306009, 193570009, 285096004, 247064005, 95724003, 68216000, 95723009, 267626000, 12195004, 404628003], [78076003, 38881003, 40049005, 840672002, 280536008, 70278005, 231749006, 302151004, 41950001, 172525002], [36976004, 359743001, 190455009, 237654002, 359742006, 240091005, 63981007, 75316000, 717903003, 725036000]]	[[116676008, 0], [116680003, -1], [363698007, 0], [42752001, -1]]	[[128305008, 38422002, 50822002, 370950002, 371880002, 401180009, 19730000, 128308005, 64634000, 36350006], [128306009, 193570009, 285096004, 247064005, 95724003, 68216000, 95723009, 267626000, 12195004, 404628003], [78076003, 38881003, 40049005, 840672002, 280536008, 70278005, 231749006, 302151004, 41950001, 172525002], [36976004, 359743001, 190455009, 237654002, 359742006, 240091005, 63981007, 75316000, 717903003, 725036000]]
placa superior de laminilla espiral coclear [como un todo] (estructura corporal)	729132006	estructura corporal	0	0	[729131004, 729129008, 729130003, 729128000, 729149004, 279790004, 279840005, 149380004, 730956009, 729148007]	0	1.0	2	1.0	[116680003, 272741003]	729131004	2	1.0	[116680003, 272741003]	729131004	[[116680003, 0], [272741003, 0]]	[[279793002, 279792007, 279789008, 279788000, 279791000, 279843007, 279786001, 4871003, 729131004, 14596009], [182353008, 272424004, 437882009, 384727002, 709880000, 24614000, 39509000, 18984004, 85682006, 36169008]]	[[116680003, 0], [272741003, 0]]	[[279793002, 279792007, 279789008, 279788000, 279791000, 279843007, 279786001, 4871003, 729131004, 14596009], [182353008, 272424004, 437882009, 384727002, 709880000, 24614000, 39509000, 18984004, 85682006, 36169008]]
histerectomía vaginal asistida por laparoscopia con salpingo-ooforectomía bilateral (procedimiento)	441820006	procedimiento	0	0	[75835007, 608806004, 739674007, 739673001, 414575003, 739669004, 739670003, 116144002, 739672006, 739671004]	0	1.0	5	1.0	[116680003, 424876005, 405813007, 260686004, 425391005]	75835007	5	1.0	[116680003, 424876005, 405813007, 260686004, 425391005]	75835007	[[116680003, -1], [424876005, -1], [405813007, -1], [260686004, -1], [425391005, -1]]	[[739674007, 739673001, 116144002, 739672006, 739671004, 739669004, 739670003, 429763009, 740514001, 740515000], [739673001, 739674007, 116144002, 739671004, 739672006, 429763009, 414575003, 765469005, 765470006, 739669004], [739674007, 739673001, 116144002, 429763009, 739672006, 739671004, 391996005, 739670003, 739669004, 765470006], [739673001, 739674007, 391996005, 429763009, 765469005, 765470006, 116144002, 391083006, 739671004, 739672006], [739673001, 739674007, 609275002, 609230000, 116144002, 739671004, 739672006, 429763009, 414575003, 739669004]]	[[116680003, -1], [424876005, -1], [405813007, -1], [260686004, -1], [425391005, -1]]	[[739674007, 739673001, 116144002, 739672006, 739671004, 739669004, 739670003, 429763009, 740514001, 740515000], [739673001, 739674007, 116144002, 739671004, 739672006, 429763009, 414575003, 765469005, 765470006, 739669004], [739674007, 739673001, 116144002, 429763009, 739672006, 739671004, 391996005, 739670003, 739669004, 765470006], [739673001, 739674007, 391996005, 429763009, 765469005, 765470006, 116144002, 391083006, 739671004, 739672006], [739673001, 739674007, 609275002, 609230000, 116144002, 739671004, 739672006, 429763009, 414575003, 739669004]]
síndrome de Bloom (trastorno)	4434006	trastorno	0	4	[32123005, 427698009, 309776008, 277850002, 278098005, 24956004, 76129002, 230264003, 45085008, 111567006]	1	0.6667000000000001	1	1.0	[116680003]	32123005	1	0.5	[116680003]	278098005	[[116680003, -1]]	[[5181007, 237979002, 237913008, 444755001, 444756000, 238043005, 16754006, 60853003, 190722000, 71638002]]	[[116680003, -1]]	[[267811000, 37111008, 279425004, 403344005, 247551000, 403345006, 267808001, 238734009, 12496007, 302931004]]
síndrome de aspiración de meconio (trastorno)	206292002	trastorno	0	0	[278927005, 77925001, 10269001, 129571008, 117695009, 119340004, 276541002, 206294001, 446301004, 276540001]	0	1.0	3	0.75	[246454002, 116680003, 363698007]	278927005	3	0.75	[246454002, 116680003, 363698007]	278927005	[[246454002, -1], [116680003, 0], [363698007, 0]]	[[32123005, 427698009, 309776008, 277850002, 278098005, 24956004, 76129002, 230264003, 45085008, 111567006], [276533002, 10269001, 129571008, 129892000, 14921002, 24956004, 230649009, 205812004, 312946000, 427698009], [82094008, 58675001, 47005005, 321667001, 20800006, 408418009, 89187006, 15562006, 119253004, 3153003]]	[[246454002, -1], [116680003, 0], [363698007, 0]]	[[32123005, 427698009, 309776008, 277850002, 278098005, 24956004, 76129002, 230264003, 45085008, 111567006], [276533002, 10269001, 129571008, 129892000, 14921002, 24956004, 230649009, 205812004, 312946000, 427698009], [82094008, 58675001, 47005005, 321667001, 20800006, 408418009, 89187006, 15562006, 119253004, 3153003]]
estudios de captación/excreción de isótopos (procedimiento)	169123003	procedimiento	0	0	[241386007, 12341000, 71977002, 308111008, 250725006, 50621006, 241444000, 443842004, 252262004, 7656009]	0	1.0	3	0.75	[116680003, 260686004, 424361007]	241386007	3	0.75	[116680003, 260686004, 424361007]	241386007	[[116680003, -1], [260686004, -1], [424361007, 0]]	[[13823007, 251396006, 391089005, 251392008, 407646003, 271260009, 251394009, 251393003, 118552002, 271250000], [129265001, 394831002, 129264002, 129266000, 398272001, 427206005, 110466009, 69736008, 129449000, 310813001], [89457008, 33638001, 708552003, 33239004, 5453007, 14863002, 12186007, 2430003, 85146000, 42558000]]	[[116680003, -1], [260686004, -1], [424361007, 0]]	[[13823007, 251396006, 391089005, 251392008, 407646003, 271260009, 251394009, 251393003, 118552002, 271250000], [129265001, 394831002, 129264002, 129266000, 398272001, 427206005, 110466009, 69736008, 129449000, 310813001], [89457008, 33638001, 708552003, 33239004, 5453007, 14863002, 12186007, 2430003, 85146000, 42558000]]
