Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
insuficiencia respiratoria hipoxémica crónica reagudizada (trastorno)	10672271000119100	trastorno	0	0	[7361000175106, 67905004, 426896000, 428173007, 427896006, 20091000175107, 709110009, 443344007, 90616004, 709111008]	0	1.0	3	1.0	[116680003, 263502005, 363698007]	7361000175106	3	1.0	[116680003, 263502005, 363698007]	7361000175106	[[116680003, 0], [263502005, 0], [363698007, 0]]	[[67905004, 7361000175106, 426896000, 428173007, 427896006, 20091000175107, 443344007, 125120006, 90616004, 709110009], [255212004, 238561006, 716771000, 79955004, 160900005, 50188003, 90734009, 25649003, 39196007, 238587006], [20139000, 21514008, 118969007, 86762007, 423940004, 63303001, 245500007, 287532007, 113257007, 45308003]]	[[116680003, 0], [263502005, 0], [363698007, 0]]	[[67905004, 7361000175106, 426896000, 428173007, 427896006, 20091000175107, 443344007, 125120006, 90616004, 709110009], [255212004, 238561006, 716771000, 79955004, 160900005, 50188003, 90734009, 25649003, 39196007, 238587006], [20139000, 21514008, 118969007, 86762007, 423940004, 63303001, 245500007, 287532007, 113257007, 45308003]]
resonancia magnética de columna vertebral de feto (procedimiento)	443079000	procedimiento	0	0	[241645008, 432152009, 419356006, 711312000, 419636004, 711185003, 241648005, 433141005, 241647000, 417525006]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	241645008	3	1.0	[116680003, 260686004, 405813007]	241645008	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[414458006, 432850003, 430829000, 764568007, 409771000119104, 411571000119106, 495741000119105, 411611000119102, 394451000119106, 396171000119100], [312250003, 4251000179103, 764577000, 719178004, 408548005, 312251004, 764550009, 465552002, 16327691000119101, 450558003], [53418001, 6989001, 30340003, 297171002, 304037003, 297174005, 720694000, 3865001, 297172009, 75160005]]	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[414458006, 432850003, 430829000, 764568007, 409771000119104, 411571000119106, 495741000119105, 411611000119102, 394451000119106, 396171000119100], [312250003, 4251000179103, 764577000, 719178004, 408548005, 312251004, 764550009, 465552002, 16327691000119101, 450558003], [53418001, 6989001, 30340003, 297171002, 304037003, 297174005, 720694000, 3865001, 297172009, 75160005]]
llanto excesivo en el recién nacido (hallazgo)	95629002	hallazgo	1	1	[431335002, 276715006, 276632003, 735747007, 87476004, 433237003, 276714005, 48000002, 35683002, 735746003]	0	1.0	1	0.5	[116680003]	431335002	2	0.6667	[116680003, 363714003]	276715006	[[116680003, 0]]	[[162213003, 247784003, 248799000, 271812002, 260378005, 228279004, 735639001, 160606002, 230064005, 788918005]]	[[116680003, -1], [363714003, -1]]	[[225589000, 282543007, 282211008, 704101004, 284953002, 264927003, 288991007, 103311002, 288990008, 247906006], [14872005, 736705000, 26142000, 46493008, 3962002, 7175000, 50602003, 79243004, 20494003, 118255001]]
obtención y preparación de epiplón mayor (procedimiento)	180850006	procedimiento	0	0	[180826009, 180846004, 180851005, 180662008, 180718007, 57299007, 427150001, 89106004, 309065004, 180793002]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	180826009	3	1.0	[116680003, 260686004, 405813007]	180826009	[[116680003, 8], [260686004, 0], [405813007, -1]]	[[233462003, 57299007, 180660000, 177037000, 448365004, 44945006, 418926001, 67954006, 53958007, 74909004], [360025001, 129433002, 129319001, 278313005, 261518005, 129314006, 129423005, 129397003, 129360008, 129436005], [245136004, 245183002, 245076006, 245110006, 82465007, 25541006, 245141007, 81440007, 280342008, 203064007]]	[[116680003, 8], [260686004, 0], [405813007, -1]]	[[233462003, 57299007, 180660000, 177037000, 448365004, 44945006, 418926001, 67954006, 53958007, 74909004], [360025001, 129433002, 129319001, 278313005, 261518005, 129314006, 129423005, 129397003, 129360008, 129436005], [245136004, 245183002, 245076006, 245110006, 82465007, 25541006, 245141007, 81440007, 280342008, 203064007]]
catarata en hipoparatiroidismo (trastorno)	231971006	trastorno	0	0	[231970007, 264443002, 52421005, 446474007, 267626000, 64741003, 204127006, 76309006, 247063004, 68216000]	0	1.0	3	1.0	[116676008, 116680003, 363698007]	231970007	3	1.0	[116676008, 116680003, 363698007]	231970007	[[116676008, 0], [116680003, -1], [363698007, 0]]	[[128305008, 67185001, 314908006, 15497006, 255487004, 392406005, 77680006, 55940004, 21241002, 73312000], [128306009, 193570009, 285096004, 247064005, 95724003, 267626000, 52421005, 446474007, 68216000, 95723009], [78076003, 38881003, 40049005, 280536008, 26583007, 41950001, 56190005, 77205005, 32259006, 302151004]]	[[116676008, 0], [116680003, -1], [363698007, 0]]	[[128305008, 67185001, 314908006, 15497006, 255487004, 392406005, 77680006, 55940004, 21241002, 73312000], [128306009, 193570009, 285096004, 247064005, 95724003, 267626000, 52421005, 446474007, 68216000, 95723009], [78076003, 38881003, 40049005, 280536008, 26583007, 41950001, 56190005, 77205005, 32259006, 302151004]]
placa superior de laminilla espiral coclear [como un todo] (estructura corporal)	729132006	estructura corporal	0	0	[729131004, 729128000, 729129008, 729149004, 729130003, 729148007, 279790004, 279840005, 729154008, 729150004]	0	1.0	2	1.0	[116680003, 272741003]	729131004	2	1.0	[116680003, 272741003]	729131004	[[116680003, 0], [272741003, 0]]	[[279793002, 279792007, 279788000, 279789008, 83941007, 279786001, 4871003, 30282002, 279843007, 62010007], [182353008, 709880000, 437882009, 24614000, 384727002, 409056005, 397206002, 180919005, 81849003, 406736001]]	[[116680003, 0], [272741003, 0]]	[[279793002, 279792007, 279788000, 279789008, 83941007, 279786001, 4871003, 30282002, 279843007, 62010007], [182353008, 709880000, 437882009, 24614000, 384727002, 409056005, 397206002, 180919005, 81849003, 406736001]]
histerectomía vaginal asistida por laparoscopia con salpingo-ooforectomía bilateral (procedimiento)	441820006	procedimiento	0	0	[608806004, 75835007, 414575003, 739673001, 739674007, 429763009, 63516002, 739669004, 739670003, 116144002]	0	1.0	5	0.8333	[116680003, 424876005, 405813007, 260686004, 425391005]	608806004	5	0.8333	[116680003, 424876005, 405813007, 260686004, 425391005]	608806004	[[116680003, 0], [424876005, 6], [405813007, -1], [260686004, -1], [425391005, -1]]	[[29827000, 391083006, 739673001, 739674007, 391996005, 237421005, 427851004, 609275002, 21338008, 765470006], [260630004, 609275002, 609230000, 386634006, 302340005, 76876009, 54300008, 176415006, 767610009, 287662009], [11231000087108, 172324004, 417262009, 74611005, 34402009, 81743008, 12747003, 169009002, 113285009, 76056002], [391996005, 130458009, 129399000, 28002000, 129296005, 360084004, 668004, 281698007, 129402004, 267111003], [76876009, 302340005, 168810003, 168811004, 51933005, 112910006, 287662009, 371189003, 287659006, 7731000119103]]	[[116680003, 0], [424876005, 6], [405813007, -1], [260686004, -1], [425391005, -1]]	[[29827000, 391083006, 739673001, 739674007, 391996005, 237421005, 427851004, 609275002, 21338008, 765470006], [260630004, 609275002, 609230000, 386634006, 302340005, 76876009, 54300008, 176415006, 767610009, 287662009], [11231000087108, 172324004, 417262009, 74611005, 34402009, 81743008, 12747003, 169009002, 113285009, 76056002], [391996005, 130458009, 129399000, 28002000, 129296005, 360084004, 668004, 281698007, 129402004, 267111003], [76876009, 302340005, 168810003, 168811004, 51933005, 112910006, 287662009, 371189003, 287659006, 7731000119103]]
síndrome de Bloom (trastorno)	4434006	trastorno	0	0	[278098005, 14785004, 74351001, 32123005, 277850002, 53297005, 427698009, 63900005, 309776008, 445431000]	1	0.6667000000000001	1	0.5	[116680003]	278098005	1	0.5	[116680003]	278098005	[[116680003, -1]]	[[267811000, 238734009, 279425004, 267808001, 37111008, 302931004, 8684002, 310828001, 12496007, 275462005]]	[[116680003, -1]]	[[267811000, 238734009, 279425004, 267808001, 37111008, 302931004, 8684002, 310828001, 12496007, 275462005]]
síndrome de aspiración de meconio (trastorno)	206292002	trastorno	0	0	[10269001, 32985001, 350353007, 238826008, 724172004, 302202009, 313426007, 40354009, 717338006, 5158005]	0	1.0	2	1.0	[246454002, 116680003]	10269001	2	1.0	[246454002, 116680003]	10269001	[[246454002, -1], [116680003, -1]]	[[450426006, 26291002, 22067002, 111467008, 21404001, 9936001, 90108007, 17082004, 62714009, 1762004], [106012007, 5984000, 90108007, 62714009, 17082004, 5947002, 49725005, 17766007, 82719008, 106122003]]	[[246454002, -1], [116680003, -1]]	[[450426006, 26291002, 22067002, 111467008, 21404001, 9936001, 90108007, 17082004, 62714009, 1762004], [106012007, 5984000, 90108007, 62714009, 17082004, 5947002, 49725005, 17766007, 82719008, 106122003]]
estudios de captación/excreción de isótopos (procedimiento)	169123003	procedimiento	0	0	[442407001, 445881001, 104996005, 308111008, 190932003, 104978001, 702289007, 12341000, 236560001, 701692000]	0	1.0	2	1.0	[116680003, 260686004]	442407001	2	1.0	[116680003, 260686004]	442407001	[[116680003, -1], [260686004, -1]]	[[43840006, 9196004, 197794008, 125242004, 56381008, 43513001, 115600008, 42851001, 89753006, 699848000], [227429001, 36466007, 84730007, 223511009, 105051009, 85340000, 105048002, 105076005, 732793001, 272855000]]	[[116680003, -1], [260686004, -1]]	[[43840006, 9196004, 197794008, 125242004, 56381008, 43513001, 115600008, 42851001, 89753006, 699848000], [227429001, 36466007, 84730007, 223511009, 105051009, 85340000, 105048002, 105076005, 732793001, 272855000]]
