Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
insuficiencia respiratoria hipoxémica crónica reagudizada (trastorno)	10672271000119100	trastorno	0	0	[7361000175106, 20091000175107, 67905004, 428173007, 426896000]	0	1.0	3	1.0	[116680003, 263502005, 363698007]	7361000175106	3	1.0	[116680003, 263502005, 363698007]	7361000175106	[[116680003, 0], [263502005, 0], [363698007, 0]]	[[67905004, 7361000175106, 20091000175107, 428173007, 427896006, 426896000, 709111008, 236433006, 443344007, 443253003], [255212004, 314017009, 90734009, 238561006, 236582008, 32979008, 402219005, 13550009, 402221000, 203375003], [20139000, 312419003, 714323000, 118969007, 448708002, 268925001, 50043002, 86762007, 287532007, 386043001]]	[[116680003, 0], [263502005, 0], [363698007, 0]]	[[67905004, 7361000175106, 20091000175107, 428173007, 427896006, 426896000, 709111008, 236433006, 443344007, 443253003], [255212004, 314017009, 90734009, 238561006, 236582008, 32979008, 402219005, 13550009, 402221000, 203375003], [20139000, 312419003, 714323000, 118969007, 448708002, 268925001, 50043002, 86762007, 287532007, 386043001]]
resonancia magnética de columna vertebral de feto (procedimiento)	443079000	procedimiento	0	0	[241645008, 241648005, 711185003, 241647000, 432152009]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	241645008	3	1.0	[116680003, 260686004, 405813007]	241645008	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[414458006, 432850003, 411571000119106, 495741000119105, 411611000119102, 394451000119106, 571891000119109, 764568007, 396171000119100, 431871005], [312250003, 764577000, 4251000179103, 16327691000119101, 382911000119105, 489801000119103, 764550009, 396161000119106, 388321000119101, 16334561000119101], [53418001, 304037003, 6989001, 75160005, 3865001, 699692001, 30340003, 7874003, 699691008, 362665007]]	[[116680003, -1], [260686004, 0], [405813007, 0]]	[[414458006, 432850003, 411571000119106, 495741000119105, 411611000119102, 394451000119106, 571891000119109, 764568007, 396171000119100, 431871005], [312250003, 764577000, 4251000179103, 16327691000119101, 382911000119105, 489801000119103, 764550009, 396161000119106, 388321000119101, 16334561000119101], [53418001, 304037003, 6989001, 75160005, 3865001, 699692001, 30340003, 7874003, 699691008, 362665007]]
llanto excesivo en el recién nacido (hallazgo)	95629002	hallazgo	-1	0	[240301009, 48000002, 431335002, 87476004, 51978008]	0	1.0	2	1.0	[116680003, 363714003]	240301009	0	0.0	[]	-1	[[116680003, -1], [363714003, -1]]	[[72552008, 49415001, 371105007, 206567004, 55331005, 431335002, 276715006, 87476004, 48000002, 206566008], [364645004, 364656004, 365968000, 364660001, 364393001, 364654001, 228282009, 364171004, 364663004, 363896009]]		
obtención y preparación de epiplón mayor (procedimiento)	180850006	procedimiento	0	0	[180826009, 238307009, 256777008, 733474006, 177961005]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	180826009	3	1.0	[116680003, 260686004, 405813007]	180826009	[[116680003, -1], [260686004, 0], [405813007, -1]]	[[360025001, 44945006, 448365004, 180660000, 233462003, 74909004, 67954006, 89106004, 57299007, 780905001], [360025001, 419656003, 233462003, 448365004, 53958007, 129280007, 180660000, 439587001, 74909004, 67954006], [245076006, 280342008, 245136004, 245110006, 245085006, 25541006, 82465007, 81440007, 362925006, 245183002]]	[[116680003, -1], [260686004, 0], [405813007, -1]]	[[360025001, 44945006, 448365004, 180660000, 233462003, 74909004, 67954006, 89106004, 57299007, 780905001], [360025001, 419656003, 233462003, 448365004, 53958007, 129280007, 180660000, 439587001, 74909004, 67954006], [245076006, 280342008, 245136004, 245110006, 245085006, 25541006, 82465007, 81440007, 362925006, 245183002]]
catarata en hipoparatiroidismo (trastorno)	231971006	trastorno	0	0	[717894000, 717893006, 36976004, 128306009, 193570009]	0	1.0	4	1.0	[116676008, 116680003, 363698007, 42752001]	717894000	4	1.0	[116676008, 116680003, 363698007, 42752001]	717894000	[[116676008, 0], [116680003, -1], [363698007, 0], [42752001, -1]]	[[128305008, 370950002, 50822002, 64634000, 36350006, 128308005, 268160006, 247075009, 840576009, 247056004], [128306009, 193570009, 285096004, 247064005, 95724003, 68216000, 846743000, 95723009, 267626000, 54885007], [78076003, 40049005, 280536008, 38881003, 70278005, 302151004, 840672002, 840671009, 32259006, 8264007], [36976004, 359743001, 58976002, 190455009, 237658004, 237659007, 237654002, 240091005, 359742006, 717903003]]	[[116676008, 0], [116680003, -1], [363698007, 0], [42752001, -1]]	[[128305008, 370950002, 50822002, 64634000, 36350006, 128308005, 268160006, 247075009, 840576009, 247056004], [128306009, 193570009, 285096004, 247064005, 95724003, 68216000, 846743000, 95723009, 267626000, 54885007], [78076003, 40049005, 280536008, 38881003, 70278005, 302151004, 840672002, 840671009, 32259006, 8264007], [36976004, 359743001, 58976002, 190455009, 237658004, 237659007, 237654002, 240091005, 359742006, 717903003]]
placa superior de laminilla espiral coclear [como un todo] (estructura corporal)	729132006	estructura corporal	0	0	[729131004, 729129008, 729128000, 729130003, 729149004]	0	1.0	2	1.0	[116680003, 272741003]	729131004	2	1.0	[116680003, 272741003]	729131004	[[116680003, 0], [272741003, 0]]	[[279793002, 279792007, 279789008, 279788000, 729131004, 279791000, 279786001, 279843007, 4871003, 729129008], [182353008, 709880000, 46669005, 437882009, 272424004, 24614000, 729527002, 731918004, 180919005, 731781008]]	[[116680003, 0], [272741003, 0]]	[[279793002, 279792007, 279789008, 279788000, 729131004, 279791000, 279786001, 279843007, 4871003, 729129008], [182353008, 709880000, 46669005, 437882009, 272424004, 24614000, 729527002, 731918004, 180919005, 731781008]]
histerectomía vaginal asistida por laparoscopia con salpingo-ooforectomía bilateral (procedimiento)	441820006	procedimiento	0	0	[739674007, 739673001, 739670003, 75835007, 414575003]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	739674007	3	1.0	[116680003, 260686004, 405813007]	739674007	[[116680003, 0], [260686004, -1], [405813007, 2]]	[[75835007, 608806004, 41330009, 50774009, 414575003, 609230000, 446223002, 446222007, 1390003, 609275002], [608806004, 75835007, 1390003, 447517002, 50774009, 41330009, 608805000, 90527009, 176895001, 236139004], [236938008, 33015000, 2033006, 113293009, 608893003, 287661002, 763157008, 258533006, 763156004, 287945002]]	[[116680003, 0], [260686004, -1], [405813007, 2]]	[[75835007, 608806004, 41330009, 50774009, 414575003, 609230000, 446223002, 446222007, 1390003, 609275002], [608806004, 75835007, 1390003, 447517002, 50774009, 41330009, 608805000, 90527009, 176895001, 236139004], [236938008, 33015000, 2033006, 113293009, 608893003, 287661002, 763157008, 258533006, 763156004, 287945002]]
síndrome de Bloom (trastorno)	4434006	trastorno	0	0	[48982009, 55602000, 32643003, 32123005, 773404000]	0	1.0	3	0.75	[116680003, 370135005, 246075003]	48982009	3	0.75	[116680003, 370135005, 246075003]	48982009	[[116680003, -1], [370135005, 4], [246075003, -1]]	[[23502006, 240669002, 714327004, 426637005, 240670001, 429423007, 230150008, 230605007, 310566009, 310563001], [441862004, 415178003, 719982003, 308489006, 308490002, 472964009, 29458008, 263680009, 609404002, 702640006], [112277009, 50255000, 12220009, 26764003, 450859002, 422788000, 407467009, 434851000, 710255006, 424847007]]	[[116680003, -1], [370135005, 4], [246075003, -1]]	[[23502006, 240669002, 714327004, 426637005, 240670001, 429423007, 230150008, 230605007, 310566009, 310563001], [441862004, 415178003, 719982003, 308489006, 308490002, 472964009, 29458008, 263680009, 609404002, 702640006], [112277009, 50255000, 12220009, 26764003, 450859002, 422788000, 407467009, 434851000, 710255006, 424847007]]
síndrome de aspiración de meconio (trastorno)	206292002	trastorno	0	0	[278927005, 77925001, 10269001, 44075003, 249529000]	0	1.0	3	0.75	[246454002, 116680003, 363698007]	278927005	3	0.75	[246454002, 116680003, 363698007]	278927005	[[246454002, -1], [116680003, 0], [363698007, 0]]	[[724207001, 90549003, 32123005, 771442003, 46288008, 350353007, 55602000, 230191005, 32680009, 48982009], [276533002, 10269001, 129571008, 205826008, 205812004, 771178004, 202836006, 44906001, 205482002, 80138003], [82094008, 58675001, 47005005, 321667001, 119253004, 408418009, 15562006, 89187006, 70791007, 87200008]]	[[246454002, -1], [116680003, 0], [363698007, 0]]	[[724207001, 90549003, 32123005, 771442003, 46288008, 350353007, 55602000, 230191005, 32680009, 48982009], [276533002, 10269001, 129571008, 205826008, 205812004, 771178004, 202836006, 44906001, 205482002, 80138003], [82094008, 58675001, 47005005, 321667001, 119253004, 408418009, 15562006, 89187006, 70791007, 87200008]]
estudios de captación/excreción de isótopos (procedimiento)	169123003	procedimiento	0	0	[71977002, 12341000, 50621006, 241386007, 69720006]	0	1.0	3	1.0	[116680003, 260686004, 424361007]	71977002	3	1.0	[116680003, 260686004, 424361007]	71977002	[[116680003, 6], [260686004, 2], [424361007, 0]]	[[373205008, 399319009, 399019003, 371572003, 252820003, 108294005, 363679005, 830201002, 467910001, 767437000], [5608002, 412853007, 312421008, 250725006, 412929002, 412931006, 412927000, 250720001, 313676001, 63911002], [89457008, 29043006, 40670003, 12414006, 33638001, 67266008, 708552003, 3816006, 33218006, 91495004]]	[[116680003, 6], [260686004, 2], [424361007, 0]]	[[373205008, 399319009, 399019003, 371572003, 252820003, 108294005, 363679005, 830201002, 467910001, 767437000], [5608002, 412853007, 312421008, 250725006, 412929002, 412931006, 412927000, 250720001, 313676001, 63911002], [89457008, 29043006, 40670003, 12414006, 33638001, 67266008, 708552003, 3816006, 33218006, 91495004]]
